Name,Team,POS,ADP,PA,mAVG,mRBI,mR,mSB,mHR,PTS,aPOS,Dollars,PlayerId
Kris Bryant,COL,OF,140.0500031,567.513,1.719443595,-0.880638704,0.727388539,-1.521540034,-0.843316639,-0.798663243,12.55672875,12.75806551,15429
Corbin Carroll,ARI,OF,999,587.058,-2.681247587,-2.606482668,1.282405943,3.907531663,-0.82607451,-0.92386716,12.55672875,12.63286159,25878
Will Smith,LAD,C/DH,56.5,557.64,-1.021661519,1.753621797,-0.144284543,-2.755200048,1.767239989,-0.400284324,11.87087657,12.47059225,19197
Willy Adames,MIL,SS,102.8600006,652.797,-2.844589742,1.547214705,2.203220796,-0.211402634,2.437412485,3.13185561,8.249806128,12.38166174,15986
Tyler O'Neill,STL,OF,108.8600006,538.757,-2.453418443,-0.195048695,-1.843590563,1.947608691,1.306868239,-1.23758077,12.55672875,12.31914798,15711
Brandon Lowe,TBR,2B,176.9499969,585.31,-3.130963709,1.689030813,0.100876076,-1.847961637,2.12887366,-1.060144797,12.36268108,12.30253629,18882
Thairo Estrada,SFG,2B/SS,174.0899963,594.926,-0.082578542,-2.351423684,-0.41111232,3.44332719,-1.74073409,-1.142521446,12.36268108,12.22015964,16426
Daulton Varsho,TOR,C/OF,36.72999954,560.668,-3.811212149,0.472280298,-0.708576147,1.600442129,1.715675728,-0.731390141,11.87087657,12.13948643,19918
Xander Bogaerts,SDP,SS,92.86000061,649.76,1.43899938,2.43659625,0.92751922,-1.049711039,-0.89693551,2.856468301,8.249806128,12.10627443,12161
Andrew Vaughn,CHW,1B/OF/DH,143.2700043,585.896,0.989667295,0.312016462,-0.977145505,-2.805668861,0.641529532,-1.839601077,12.55672875,11.71712768,26197
Jorge Polanco,MIN,2B,170.5,606.097,-0.471140289,0.270475563,-0.47944266,-0.531631827,-0.503798841,-1.715538054,12.36268108,11.64714303,13152
Gunnar Henderson,BAL,3B,999,612.249,-0.855956298,0.856939356,0.135064227,0.498836905,-0.146434979,0.488449211,9.970805717,11.45925493,26289
Ketel Marte,ARI,2B/DH,216.6399994,616.307,1.491204258,-0.747628353,0.768588969,-1.509232541,-2.054671453,-2.051739121,12.36268108,11.31094196,13613
Alex Verdugo,BOS,OF,203.7700043,599.693,3.910222766,-0.478157481,-0.939323181,-1.858295361,-2.957567737,-2.323120994,12.55672875,11.23360776,17027
J.T. Realmuto,PHI,C,25.68000031,554.682,-0.516259288,-0.08458734,-1.600558907,1.310053287,-0.75038049,-1.641732738,11.87087657,11.22914384,11739
Josh Bell,CLE,1B/DH,182.4499969,598.966,-0.329587284,1.397931735,-0.125890438,-3.048182218,0.064937844,-2.040790361,12.24404145,11.20325109,13145
Ramon Laureano,OAK,OF,222.1799927,625.35,-4.541406557,-0.954453551,-0.018337616,3.129832617,0.00289922,-2.381465888,12.55672875,11.17526287,17128
Josh Naylor,CLE,1B/DH,223.8200073,535.726,1.275211582,-0.142652999,-2.000219499,-1.437244717,0.091726917,-2.213178715,12.24404145,11.03086273,18839
Yandy Diaz,TBR,3B,272.5,640.954,4.244336217,-2.273320058,2.530245522,-1.523320394,-2.929973032,0.047968256,9.970805717,11.01877397,16578
Hunter Renfroe,LAA,OF,152.4100037,543.595,-2.982245553,1.382160205,-1.353827419,-2.57581136,2.791351741,-2.738372387,12.55672875,10.81835637,15464
Luis Arraez,MIA,1B/2B/DH,215.5,635.625,7.346651741,-4.002573501,0.796665996,-0.908986802,-5.802982672,-2.571225238,12.36268108,10.79145585,18568
Mitch Haniger,SFG,OF,176.6799927,589.825,-1.325292272,0.827300113,-0.569138132,-2.826452393,0.969123061,-2.924459622,12.55672875,10.63226913,14274
Amed Rosario,CLE,SS,121.7300034,640.071,3.629314279,-0.9975424,0.563811338,1.520868722,-3.407022161,1.309429778,8.249806128,10.55923591,15518
Oscar Gonzalez,CLE,OF,183.0899963,523.171,2.564839713,-0.037816925,-2.976217488,-2.419489739,-0.206620304,-3.075304743,12.55672875,10.48142401,20970
Nick Castellanos,PHI,OF,131.2700043,601.874,-0.305904084,0.631624939,-1.248318204,-1.641713089,-0.602576107,-3.166886546,12.55672875,10.38984221,11737
Dansby Swanson,CHC,SS,85.13999939,660.314,-2.244657739,0.217575587,1.125757309,1.63810041,0.164158457,0.900934023,8.249806128,10.15074015,18314
Jeff McNeil,NYM,2B/OF,201.1799927,590.213,5.426462392,-1.048934322,-1.639458022,-2.185684562,-4.022528888,-3.470143404,12.55672875,10.08658535,15362
Jonathan India,CIN,2B,186.6399994,636.704,-1.333280615,-1.811184534,1.184557382,0.028672187,-1.5656581,-3.49689368,12.36268108,9.865787404,21523
Brendan Rodgers,COL,2B,270.3200073,568.902,3.494017047,-0.844515627,-1.73760861,-2.989585775,-2.063131161,-4.140824127,12.36268108,9.221856957,17907
Adley Rutschman,BAL,C/DH,999,581.871,-0.41334952,-1.545666518,0.725623978,-1.856747259,-1.015694128,-4.105833446,11.87087657,8.765043128,26288
Nico Hoerner,CHC,SS,137.9499969,601.502,3.743004279,-3.315143507,-0.378797066,3.598526097,-4.196356284,-0.548766481,8.249806128,8.701039647,21479
Ryan McMahon,COL,3B,222.2299957,595.387,-1.773115503,0.434148079,-0.442674148,-0.843655901,0.20903563,-2.416261843,9.970805717,8.554543874,15112
MJ Melendez,KCR,C/OF/DH,999,582.228,-3.617401596,-1.739147434,0.904799891,-1.085898453,1.184927049,-4.352720543,11.87087657,8.518156031,22197
Alejandro Kirk,TOR,C/DH,102.3199997,493.41,3.645746189,-1.111287961,-2.246520927,-3.113783901,-1.625722023,-4.451568622,11.87087657,8.419307952,22581
Andrew Benintendi,CHW,OF,220.1799927,571.073,0.999216119,-2.532730057,-0.915999798,0.020583335,-2.776650246,-5.205580646,12.55672875,8.351148108,17901
Jean Segura,MIA,2B,234,574.163,2.602543936,-3.425354317,-1.791417029,1.478643552,-4.257145929,-5.392729787,12.36268108,7.969951297,5933
Ke'Bryan Hayes,PIT,3B,180.9100037,603.332,-0.023664169,-1.52696665,-1.053049501,2.847106314,-3.38816877,-3.144742776,9.970805717,7.826062941,18577
Joc Pederson,SFG,OF,247.9499969,531.976,-2.478192741,-0.24483043,-1.806304994,-1.91843993,0.668318606,-5.77944949,12.55672875,7.777279265,11899
Jose Miranda,MIN,1B/3B/DH,999,559.398,1.726410431,-0.062770828,-1.843848271,-2.500379083,-0.667515311,-3.348103062,9.970805717,7.622702655,20538
Riley Greene,DET,OF,999,614.344,-0.292673283,-1.690431709,-1.287411011,-0.503959207,-2.842756982,-6.617232193,12.55672875,6.939496562,25976
Willson Contreras,STL,C/DH,106.1800003,557.919,-2.964922915,-1.516571451,-0.009171752,-1.348769514,-0.133141482,-5.972577114,11.87087657,6.898299461,11609
Lourdes Gurriel Jr.,ARI,OF,228.2299957,531.923,3.469636127,-2.1573571,-3.426307572,-1.691833517,-2.877482122,-6.683344184,12.55672875,6.873384571,19238
Max Muncy,LAD,2B/3B/DH,139.5500031,563.689,-5.174199758,0.440236148,-0.37496756,-2.642303222,1.253008101,-6.498226291,12.36268108,6.864454792,13301
Seth Brown,OAK,1B/OF,210.4499969,552.917,-4.509015046,-0.382672936,-2.432366057,-0.262297252,0.757226981,-6.82912431,12.55672875,6.727604444,18171
Ezequiel Tovar,COL,SS,999,482.219,3.064666362,-2.307351807,-2.650074221,1.337532497,-1.970234967,-2.525462136,8.249806128,6.724343992,24064
Austin Meadows,DET,OF,279.8200073,567.613,-1.981772274,-2.537687485,-0.519482585,-1.201891438,-0.743693402,-6.984527183,12.55672875,6.572201571,15672
Austin Hays,BAL,OF,260.9100037,560.501,-1.312968506,-0.972693822,-2.296693531,-1.575259936,-0.925093811,-7.082709606,12.55672875,6.474019148,19363
Jake Cronenworth,SDP,1B/2B,196.6399994,610.639,-1.540003695,-0.63198057,-0.439791759,-2.0562228,-2.542718203,-7.210717028,12.36268108,6.151964056,18036
Lane Thomas,WSN,OF,271.1400146,581.419,-3.812828788,-2.906157705,-0.642740813,0.665221422,-0.754529665,-7.451035549,12.55672875,6.105693205,16939
Alec Bohm,PHI,3B,187.6799927,595.485,2.345956723,-0.991623488,-2.192410481,-1.698374358,-2.360592072,-4.897043676,9.970805717,6.073762041,21618
Wil Myers,CIN,1B/OF,266.0499878,559.207,-2.223504355,-1.012268666,-2.451664601,-1.14971973,-0.696318272,-7.533475625,12.55672875,6.02325313,10047
Sean Murphy,ATL,C/DH,127.8199997,562.999,-2.14405242,-0.205820508,-1.271554591,-2.94124566,-0.425082838,-6.987756016,11.87087657,5.883120558,19352
Charlie Blackmon,COL,OF/DH,288.6799927,549.922,0.854601577,-1.742347061,-2.326383284,-2.11458701,-2.668486239,-7.997202016,12.55672875,5.559526738,7859
Javier Baez,DET,SS,168.1399994,627.065,-3.427365813,-0.105147939,-0.737189928,0.514550647,0.014742811,-3.740410223,8.249806128,5.509395905,12979
Anthony Rendon,LAA,3B,242.4499969,566.267,-0.217591736,-0.232636738,-1.189303101,-2.323196512,-1.644172791,-5.606900878,9.970805717,5.363904839,12861
Harrison Bader,NYY,OF,168.2700043,515.682,-1.613217914,-3.000199624,-3.829301952,3.011478123,-2.786237914,-8.217479281,12.55672875,5.339249473,18030
Jeremy Pena,HOU,SS,999,566.25,-2.210438978,-0.325863191,-2.298608284,0.368872335,-0.077065377,-4.543103495,8.249806128,4.706702632,21636
Matt Chapman,TOR,3B,163.5,616.384,-6.557670681,0.752858107,-0.419997497,-2.155844489,1.940422726,-6.440231834,9.970805717,4.530573883,16505
Jose Siri,TBR,OF,304.9500122,453.199,-2.559145351,-3.629041327,-4.208608547,3.078434545,-1.82343868,-9.141799359,12.55672875,4.414929395,17452
Avisail Garcia,MIA,OF,324.9100037,573.641,-2.261245738,-1.209723184,-3.088288404,-1.079280101,-1.510105252,-9.148642679,12.55672875,4.408086075,5760
Jorge Soler,MIA,OF,292.9100037,544.343,-4.4433041,-0.968927677,-2.313367395,-2.483930276,0.962838597,-9.24669085,12.55672875,4.310037904,14221
Randal Grichuk,COL,OF,255.3200073,479.959,0.067550586,-1.958292395,-4.097419911,-2.332369137,-1.019239368,-9.339770224,12.55672875,4.21695853,10243
Justin Turner,BOS,3B/DH,240,554.807,1.438714587,-1.218361381,-2.147638252,-2.487026573,-2.879134108,-7.293445726,9.970805717,3.677359991,5235
Mike Yastrzemski,SFG,OF,359.8599854,572.556,-4.732637074,-1.894475385,-0.88486803,-1.687189118,-0.837394843,-10.03656445,12.55672875,3.520164304,14854
CJ Abrams,WSN,SS,999,568.597,1.251943891,-3.615089834,-2.290582407,3.21772667,-4.400196048,-5.836197728,8.249806128,3.4136084,25768
Garrett Cooper,MIA,1B/DH,424.4500122,553.549,-0.479354781,-1.59938196,-2.622729282,-2.923132622,-2.505253455,-10.1298521,12.24404145,3.114189346,15279
William Contreras,MIL,C/DH,121.4499969,471.8,-1.616375024,-1.554200985,-3.799353671,-2.746491845,-0.100429845,-9.81685137,11.87087657,3.054025204,20503
Luis Urias,MIL,2B/3B/SS,247.0500031,561.992,-2.589819888,-2.107638399,-2.442133514,-1.876950194,-1.372171296,-10.38871329,12.36268108,2.973967793,16622
Enrique Hernandez,BOS,OF,380.5,595.611,-3.452339182,-2.413232348,-0.38884439,-2.314952731,-2.056645385,-10.62601404,12.55672875,2.930714718,10472
Whit Merrifield,TOR,2B/OF,194.8200073,493.322,0.132032023,-4.990284945,-3.839091568,2.729719972,-4.759211513,-10.72683603,12.55672875,2.829892724,11281
Manuel Margot,TBR,OF,310.5499878,533.15,-0.084757569,-3.831892923,-3.871987896,1.270537319,-4.303513348,-10.82161442,12.55672875,2.735114338,14712
Gavin Lux,LAD,2B/OF,227.2700043,522.059,0.665187467,-3.3624573,-3.308040997,-0.788697665,-3.943329583,-10.73733808,12.36268108,2.625343006,19955
Triston Casas,BOS,1B,999,483.988,-1.575708575,-2.798059766,-3.2920984,-2.179414641,-1.048444952,-10.89372633,12.24404145,2.350315112,22514
Michael Brantley,HOU,OF/DH,347.6799927,483.019,3.109522557,-4.59085813,-2.597556804,-2.463417665,-4.66595265,-11.20826269,12.55672875,2.348466063,4106
Michael Conforto,SFG,OF,239.7299957,538.503,-2.284352745,-2.194087387,-2.664403272,-2.159714791,-1.943123948,-11.24568214,12.55672875,2.311046612,16376
Eugenio Suarez,SEA,3B,152.4499969,624.37,-8.5051047,1.070103168,-0.738094368,-2.962958081,2.428388797,-8.707665184,9.970805717,2.263140533,12552
Christopher Morel,CHC,2B/OF,999,474.07,-3.384464411,-3.40903861,-4.003766079,1.011458957,-1.417733083,-11.20354323,12.36268108,2.159137856,21897
Kolten Wong,SEA,2B,243.4100037,513.253,-1.149792091,-4.354247671,-3.686809196,1.933985169,-3.993604526,-11.25046831,12.36268108,2.112212769,12532
T.J. Friedl,CIN,OF,376.4100037,472.759,-1.469557428,-5.493982115,-2.880218843,1.246735094,-2.866605519,-11.46362881,12.55672875,2.093099944,19522
Tyler Stephenson,CIN,C,141.5899963,529.962,-0.269110873,-2.004852959,-3.424630008,-2.693700878,-2.537078398,-10.92937312,11.87087657,1.941503457,17988
Brendan Donovan,STL,2B/3B/OF,999,528.094,1.588888073,-3.972495406,-2.755604775,-1.379577278,-4.996930446,-11.51571983,12.36268108,1.846961251,24679
Jonathan Schoop,DET,2B,447.3599854,569.236,-2.245328601,-1.67261114,-3.481600684,-2.199037073,-2.086455673,-11.68503317,12.36268108,1.677647913,11265
Josh Rojas,ARI,2B/3B,213.5899963,514.791,-1.377274973,-4.591276236,-3.411247255,2.192366668,-4.686618617,-11.87405041,12.36268108,1.488630671,19734
Jake Fraley,CIN,OF,300.769989,472.853,-2.98840506,-3.65531338,-4.223303641,0.063427488,-1.336519891,-12.14011449,12.55672875,1.416614269,19260
Dylan Carlson,STL,OF,313.6799927,501.673,-0.951010267,-3.756926688,-2.830798844,-1.28641892,-3.404081241,-12.22923596,12.55672875,1.327492795,20126
Isaac Paredes,TBR,1B/2B/3B,343.769989,463.294,-1.959693933,-2.75407167,-3.639175917,-2.740725101,-0.948701082,-12.0423677,12.36268108,1.32031338,20036
Esteury Ruiz,OAK,OF,999,385.482,-1.701207564,-7.234280257,-6.289114577,7.983118353,-5.047487379,-12.28897142,12.55672875,1.26775733,21780
Harold Ramirez,TBR,1B/OF/DH,384.269989,451.281,3.127300162,-4.056036803,-5.276604964,-1.621006885,-4.505580108,-12.3319286,12.55672875,1.224800157,14387
Yoan Moncada,CHW,3B,291.1799927,587.419,-2.533026304,-1.566626072,-1.721666834,-2.139124761,-1.872747019,-9.83319099,9.970805717,1.137614727,17232
Luis Garcia,WSN,2B/SS,313.1400146,477.179,1.090468435,-3.648766512,-5.20173344,-1.418938223,-3.12466809,-12.30363783,12.36268108,1.059043254,20391
J.D. Martinez,LAD,DH,211.5899963,559.801,-1.230884984,0.228096855,-1.677303327,-3.095786968,-0.257861851,-6.033740274,6.033740274,1,6184
Adalberto Mondesi,KCR,SS,243.9100037,494.807,-3.716070664,-3.868873754,-4.735764775,7.299545264,-3.228642198,-8.249806128,8.249806128,1,13769
Ha-seong Kim,SDP,3B/SS,264.3200073,528.836,-1.685064351,-3.932377184,-1.972551194,0.633717164,-3.014530152,-9.970805717,9.970805717,1,27506
Keibert Ruiz,WSN,C,188.7700043,458.908,0.616395948,-3.21499357,-4.779397016,-1.89034146,-2.602540475,-11.87087657,11.87087657,1,19610
Jared Walsh,LAA,1B,332.230011,465.226,-2.574940981,-2.320195,-4.34942292,-2.442750216,-0.556732329,-12.24404145,12.24404145,1,18607
Vaughn Grissom,ATL,2B,999,418.071,1.694686422,-5.377915428,-5.048654963,0.702647539,-4.333444653,-12.36268108,12.36268108,1,26031
Max Kepler,MIN,OF,374.8200073,519.991,-4.319395394,-2.113933926,-3.102681471,-1.528700043,-1.492017921,-12.55672875,12.55672875,1,12144
Bryan De La Cruz,MIA,OF,234.5899963,462.064,0.491197417,-3.664767841,-5.090910847,-1.717416286,-2.836674214,-12.81857177,12.55672875,0.738156984,19600
Jesse Winker,MIL,OF,273.3599854,486.554,-1.23346208,-3.326543277,-3.133534192,-3.015671652,-2.112197464,-12.82140866,12.55672875,0.73532009,13590
Brandon Drury,LAA,1B/2B/3B/DH,199.6399994,480.101,-1.889460403,-2.895531909,-4.180036623,-2.291924419,-1.386351487,-12.64330484,12.36268108,0.719376243,11615
Tony Kemp,OAK,2B/OF,455.1799927,590.18,-1.488279142,-5.476621143,-1.642599761,0.614017498,-4.943553226,-12.93703577,12.36268108,0.42564531,14894
