Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
Zack Wheeler,PHI,12,10,19,3.44344,31,31,0,0,189,780,173,79,72,21,46,8,189,8.99652,2.16538,4.15471,0.99,0.242706,0.058417,0.1842889785766601,0.238516,1.15596,0.295207,0.736315,0.460046,,3.38586,3.91485,3.96306,53.63999938964844,,,,10310
Spencer Strider,ATL,11,7,16,3.09935,28,28,0,0,154,630,117,58,53,16,56,6,208,12.1602,3.27269,3.71565,0.91,0.329946,0.0887991,0.2411471158266067,0.205031,1.12062,0.292824,0.762482,0.395881,,2.93341,3.72022,3.87495,31.049999237060547,,,,27498
Framber Valdez,HOU,13,9,21,3.2449,31,31,0,0,196,814,181,79,70,14,68,10,185,8.51225,3.14876,2.70336,0.63,0.227277,0.084072,0.1432051286101341,0.245498,1.27338,0.310821,0.740079,0.607532,,3.32976,3.70201,3.96939,81.2699966430664,,,,17295
Shane Bieber,CLE,13,10,21,3.4806,32,32,0,0,203,837,187,86,78,24,48,6,209,9.28563,2.13864,4.34184,1.055,0.24999,0.057577,0.1924130469560623,0.239129,1.16068,0.297234,0.740412,0.465557,,3.37405,3.69539,3.60604,58.77000045776367,,,,19427
Nick Lodolo,CIN,11,10,17,3.66878,29,29,0,0,176,734,152,78,72,21,60,13,207,10.6115,3.09889,3.4243,1.091,0.282149,0.082396,0.1997529715299606,0.229973,1.20954,0.302194,0.73869,0.450836,,3.57998,3.67974,3.69883,999.0,,,,26378
Kevin Gausman,TOR,12,9,18,3.45213,31,31,0,0,181,737,160,75,69,23,39,5,196,9.76845,1.94374,5.0256,1.157,0.266136,0.052956,0.2131799198687076,0.230583,1.10038,0.288318,0.744137,0.408163,,3.34117,3.65839,3.34347,58.36000061035156,,,,14107
Brandon Woodruff,MIL,11,9,17,3.47252,29,29,0,0,173,710,148,72,67,21,48,7,197,10.2717,2.5033,4.10326,1.118,0.277906,0.067728,0.210177794098854,0.225608,1.13323,0.289494,0.746445,0.401075,,3.39461,3.50661,3.62847,37.13999938964844,,,,16162
Luis Castillo,SEA,12,10,20,3.34244,32,32,0,0,195,807,170,79,72,20,63,8,205,9.49685,2.89792,3.27713,0.905,0.25441,0.0776321,0.1767779663205146,0.230446,1.19455,0.293468,0.74603,0.484064,,3.39305,3.4761,3.42591,62.77000045776367,,,,15689
Tyler Glasnow,TBR,11,8,16,3.19629,28,28,0,0,160,651,125,62,57,17,52,4,204,11.4631,2.91304,3.93509,0.971,0.313579,0.079688,0.233891062438488,0.210729,1.10583,0.289372,0.753699,0.421464,,3.01782,3.38999,3.18395,88.91000366210938,,,,14374
Clayton Kershaw,LAD,12,9,17,3.51296,29,29,0,0,172,712,161,73,67,22,38,5,180,9.43116,1.97427,4.77704,1.148,0.253279,0.05302,0.2002588957548141,0.240913,1.15604,0.298286,0.747719,0.446811,,3.42284,3.37037,3.18759,123.36000061035156,,,,2036
Dylan Cease,CHW,12,10,17,3.72196,32,32,0,0,188,790,156,83,78,25,74,7,226,10.8668,3.54565,3.06482,1.177,0.286521,0.0934871,0.1930341646075248,0.219471,1.22405,0.28613,0.7484,0.376706,,3.6932,3.23458,2.96464,36.77000045776367,,,,18525
Max Fried,ATL,13,9,19,3.58673,31,31,0,0,190,793,188,83,76,20,46,7,174,8.23952,2.16109,3.81266,0.965,0.218805,0.057389,0.1614159829914569,0.254037,1.23269,0.306937,0.734894,0.489364,,3.50608,3.20294,3.53908,70.0,,,,13743
Hunter Greene,CIN,10,10,15,3.96968,29,29,0,0,168,708,142,79,74,25,62,9,212,11.3491,3.33276,3.40533,1.345,0.300122,0.0881331,0.211989015340805,0.222563,1.21144,0.291994,0.739465,0.356575,,3.80025,3.18439,3.0581,999.0,,,,22182
Blake Snell,SDP,12,8,15,3.40263,29,29,0,0,160,664,128,66,61,19,62,5,195,10.9504,3.47313,3.15289,1.064,0.293714,0.0931569,0.2005568593740463,0.214456,1.1854,0.284683,0.760599,0.392725,,3.45933,3.13934,3.1182,118.5,,,,13543
