Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
Curtis Taylor,,0,0,0,4.46184,1,0,0,0,1,4,1,1,0,0,0,0,1,8.01,3.7521,2.1348,1.241,0.203801,0.095466,0.1083352342247963,0.250506,1.3949,0.292089,0.718472,0.396001,,4.51369,-0.00340774,-0.0496221,999.0,,,,sa917970
Cam Booser,,0,0,0,4.43565,1,0,0,0,1,4,1,1,0,0,1,0,1,8.145,4.5666,1.7836,1.036,0.203875,0.114305,0.0895697250962257,0.253597,1.4944,0.303594,0.722073,0.435142,,4.43988,-0.0034083,-0.0469932,999.0,,,,sa754843
Pedro Strop,CHC,0,0,0,4.4676,1,0,0,0,1,4,1,1,0,0,0,0,1,7.9245,4.0806,1.94199,1.135,0.199977,0.102975,0.0970020517706871,0.254031,1.4444,0.298805,0.717596,0.431703,,4.49658,-0.00341453,-0.0489407,999.0,,,,4070
Dalbert Siri,,0,0,0,4.52394,1,0,0,0,1,4,1,1,1,0,0,0,1,8.0712,3.7089,2.17617,1.254,0.204936,0.0941728,0.1107632517814636,0.25235,1.3999,0.294784,0.715369,0.392011,,4.51496,-0.0034225,-0.0496221,999.0,,,,sa873148
Joe Biagini,,0,0,0,4.4811,1,0,0,0,1,4,1,1,0,0,0,0,1,6.741,3.4092,1.9773,1.134,0.171278,0.0866225,0.0846558436751365,0.264986,1.426,0.299392,0.709907,0.475007,,4.51573,-0.00343135,-0.0496221,999.0,,,,13194
Franklyn Kilome,WSN,0,0,0,4.60854,1,0,0,0,1,4,1,1,1,0,0,0,1,7.8075,3.78,2.06548,1.323,0.198376,0.0960439,0.1023325026035308,0.252147,1.4036,0.289842,0.714727,0.391927,,4.70473,-0.00344584,-0.0465942,999.0,,,,17861
James Dykstra,,0,0,0,4.55535,1,0,0,0,1,4,1,1,1,0,0,0,1,7.8003,3.4974,2.23031,1.28,0.198784,0.0891284,0.10965596139431,0.255821,1.3939,0.295496,0.712511,0.404014,,4.51882,-0.00345663,-0.0496124,999.0,,,,sa503397
Ivan Armstrong,LAA,0,0,0,4.56093,1,0,0,0,1,4,1,1,1,0,0,0,1,7.3818,3.9627,1.86282,1.161,0.185692,0.099683,0.086008608341217,0.260614,1.463,0.300403,0.713974,0.470685,,4.62743,-0.00346373,-0.0495643,999.0,,,,sa3006358
Taylor Williams,,0,0,0,4.50261,1,0,0,0,1,4,1,1,1,0,0,0,1,7.3953,3.5532,2.08131,1.162,0.18709,0.0898907,0.0971994325518608,0.25913,1.4144,0.298432,0.709848,0.436988,,4.51938,-0.00347345,-0.0496221,999.0,,,,14899
Taylor Guerrieri,,0,0,0,4.52178,1,0,0,0,1,4,1,1,1,0,0,0,1,7.3611,4.0446,1.81998,1.083,0.185003,0.101651,0.0833521857857704,0.260955,1.4743,0.302605,0.713184,0.464984,,4.52146,-0.00349757,-0.0496221,999.0,,,,13616
Jorge Mercedes,MIA,0,0,0,4.48254,1,0,0,0,1,4,1,1,0,0,0,0,1,8.2782,4.0626,2.03766,1.175,0.209761,0.102942,0.1068186908960342,0.249222,1.4208,0.295436,0.715496,0.408372,,4.45595,-0.0035014,-0.0510874,999.0,,,,sa3019110
Alex Phillips,MIN,0,0,0,4.42134,1,0,0,0,1,4,1,1,0,0,0,0,1,8.037,3.5388,2.27111,1.22,0.205193,0.0903493,0.1148437336087226,0.251614,1.3794,0.294244,0.71695,0.38971,,4.38615,-0.00350322,-0.0529287,999.0,,,,sa3008595
Daniel Stumpf,,0,0,0,4.45131,1,0,0,0,1,4,1,1,0,0,0,0,1,7.929,3.78,2.09762,1.245,0.201648,0.0961318,0.1055161282420158,0.252333,1.4069,0.293442,0.722944,0.384992,,4.52246,-0.00350912,-0.0496221,999.0,,,,13780
Eduardo JimÃ©nez,,0,0,0,4.53852,1,0,0,0,1,4,1,1,1,0,0,0,1,7.7382,3.6918,2.09605,1.232,0.196481,0.0937386,0.1027422323822975,0.256069,1.4155,0.296466,0.714709,0.405994,,4.52269,-0.00351169,-0.0496221,999.0,,,,19642
Cam Bedrosian,,0,0,0,4.53096,1,0,0,0,1,4,1,1,1,0,0,0,1,7.6131,3.6594,2.08042,1.226,0.193084,0.0928099,0.1002739071846008,0.256781,1.4176,0.296025,0.714898,0.410005,,4.52292,-0.00351439,-0.0496221,999.0,,,,13360
Juan Minaya,,0,0,0,4.50279,1,0,0,0,1,4,1,1,1,0,0,0,1,7.5384,3.9123,1.92685,1.109,0.190148,0.0986833,0.0914642363786697,0.255263,1.4314,0.29672,0.70872,0.441991,,4.54032,-0.00351449,-0.0496221,999.0,,,,10341
Max Green,DET,0,0,0,4.38012,1,0,0,0,1,4,1,1,0,0,0,0,1,7.2432,3.5595,2.03489,1.124,0.184291,0.0905656,0.0937256515026092,0.257621,1.4063,0.295904,0.716226,0.417138,,4.45659,-0.00353346,-0.0519905,999.0,,,,sa3004092
Jorge Guzman,SFG,0,0,0,4.45401,1,0,0,0,1,4,1,1,0,0,1,0,1,8.6274,4.5414,1.89972,1.064,0.217419,0.114448,0.1029711887240409,0.247955,1.4626,0.301344,0.717453,0.419152,,4.36832,-0.00353785,-0.050101,999.0,,,,17505
Nick Vincent,,0,0,0,4.50675,1,0,0,0,1,4,1,1,1,0,0,0,1,7.4007,2.7549,2.68638,1.387,0.190612,0.070955,0.119656927883625,0.257975,1.3283,0.290721,0.713589,0.367994,,4.52608,-0.00355083,-0.0496221,999.0,,,,7555
Jack Dashwood,LAA,0,0,0,4.49208,1,0,0,0,1,4,1,1,0,0,0,0,1,7.5861,3.0033,2.52592,1.446,0.195161,0.0772633,0.1178976669907569,0.255886,1.3433,0.288563,0.72436,0.371968,,4.6358,-0.00355793,-0.0495643,999.0,,,,sa3015035
Brian Schlitter,,0,0,0,4.51719,1,0,0,0,1,4,1,1,1,0,0,0,1,6.2622,3.3399,1.87497,1.088,0.158424,0.0844945,0.073929876089096,0.271298,1.451,0.303119,0.707467,0.486997,,4.52689,-0.00356019,-0.0496221,999.0,,,,3599
Gabriel Sosa,SEA,0,0,0,4.17591,1,0,0,0,1,4,1,1,0,0,0,0,1,8.0667,3.8763,2.08103,1.099,0.205809,0.0988978,0.1069115921854972,0.247278,1.389,0.292682,0.728052,0.443338,,4.34608,-0.00356126,-0.0562899,999.0,,,,sa3011682
Blaine Hardy,,0,0,0,4.37535,1,0,0,0,1,4,1,1,0,0,0,0,1,6.8616,3.4299,2.00052,1.174,0.174662,0.0873081,0.0873539447784423,0.261506,1.4141,0.295208,0.722222,0.429998,,4.52781,-0.00357084,-0.0496221,999.0,,,,6499
Wen-Hua Sung,,0,0,0,4.52007,1,0,0,0,1,4,1,1,1,0,0,0,1,8.5041,4.2435,2.00403,1.229,0.214848,0.107208,0.107639841735363,0.247434,1.4335,0.294125,0.72123,0.386002,,4.52815,-0.00357482,-0.0496221,999.0,,,,sa3006694
Joe Jacques,BOS,0,0,0,4.5351,1,0,0,0,1,4,1,1,1,0,0,0,1,7.164,3.6504,1.96252,1.086,0.180335,0.0918894,0.0884458571672439,0.265036,1.4531,0.305318,0.707774,0.463437,,4.4742,-0.00358318,-0.0462358,999.0,,,,sa3007493
Kyle Tyler,,0,0,0,4.37859,1,0,0,0,1,4,1,1,0,0,0,0,1,7.5582,3.7377,2.02215,1.123,0.192306,0.0950996,0.0972063094377517,0.255641,1.4146,0.29701,0.71739,0.442011,,4.42894,-0.00358393,-0.0496221,999.0,,,,22092
Sam Howard,,0,0,0,4.2264,1,0,0,0,1,4,1,1,0,0,1,0,1,8.9829,4.5396,1.97879,1.146,0.227254,0.114845,0.1124089062213897,0.237928,1.4179,0.289674,0.736024,0.398985,,4.42936,-0.00358881,-0.0496221,999.0,,,,16265
Jason Creasy,,0,0,0,4.54104,1,0,0,0,1,4,1,1,1,0,0,0,1,7.8678,3.5064,2.24384,1.3,0.200643,0.0894193,0.111223317682743,0.254335,1.3885,0.293743,0.715768,0.382991,,4.53031,-0.00359972,-0.0496221,999.0,,,,sa598099
Melvin Adon,SFG,0,0,0,4.52781,1,0,0,0,1,4,1,1,1,0,0,0,1,7.6815,3.8115,2.01535,1.094,0.194685,0.0966013,0.0980839505791664,0.259386,1.4405,0.303979,0.707616,0.438336,,4.37525,-0.0036109,-0.0500915,999.0,,,,sa873314
Jimmy Yacabonis,NYM,0,0,0,4.22532,1,0,0,0,1,4,1,1,0,0,0,0,1,8.6922,3.7215,2.33567,1.184,0.222483,0.0952545,0.127228744328022,0.244281,1.3606,0.293388,0.727545,0.405945,,4.28275,-0.00362511,-0.05551,999.0,,,,15157
Peyton Gray,,0,0,0,4.51854,1,0,0,0,1,4,1,1,1,0,0,0,1,8.5752,4.0284,2.12869,1.284,0.217534,0.102192,0.1153424456715583,0.246015,1.4045,0.291408,0.720969,0.365003,,4.5327,-0.0036273,-0.0496221,999.0,,,,sa3008046
Chasen Bradford,,0,0,0,4.56219,1,0,0,0,1,4,1,1,1,0,0,0,1,6.417,2.9943,2.14307,1.201,0.163495,0.0762898,0.0872047543525695,0.270399,1.4117,0.300753,0.705785,0.459988,,4.53301,-0.00363089,-0.0496221,999.0,,,,12452
Erik Manoah Jr.,,0,0,0,4.50603,1,0,0,0,1,4,1,1,1,0,0,0,1,8.1135,3.8358,2.1152,1.246,0.205916,0.0973504,0.1085655614733696,0.250564,1.4042,0.293217,0.717131,0.391989,,4.53361,-0.00363782,-0.0496221,999.0,,,,sa829063
David Lebron,,0,0,0,4.50396,1,0,0,0,1,4,1,1,1,0,0,0,1,8.5455,4.1049,2.08178,1.273,0.216781,0.104132,0.1126484125852584,0.245767,1.4112,0.291084,0.722565,0.36901,,4.53361,-0.00363782,-0.0496221,999.0,,,,sa3006695
A.J. Ladwig,,0,0,0,4.71015,1,0,0,0,1,4,1,1,1,0,0,0,1,5.5926,1.6254,3.44075,1.526,0.145051,0.0421569,0.1028944961726665,0.277141,1.3069,0.29231,0.699191,0.387994,,4.73385,-0.00364065,-0.0496221,999.0,,,,16266
Shane Greene,,0,0,0,4.65624,1,0,0,0,1,4,1,1,1,0,0,0,1,7.1991,3.6666,1.96343,1.28,0.181754,0.0925699,0.0891842693090438,0.259877,1.4322,0.294067,0.711546,0.412006,,4.73432,-0.00364603,-0.0496221,999.0,,,,10756
Taylor Cole,,0,0,0,4.55985,1,0,0,0,1,4,1,1,1,0,0,0,1,7.4421,3.8781,1.91901,1.214,0.187506,0.0977098,0.0897959247231483,0.259606,1.4518,0.298249,0.716811,0.453734,,4.64469,-0.00365801,-0.0495643,999.0,,,,11964
Dereck RodrÃ­guez,,0,0,0,4.42377,1,0,0,0,1,4,1,1,0,0,0,0,1,7.3782,2.6352,2.79986,1.364,0.191096,0.0682518,0.122843824326992,0.258259,1.3153,0.291496,0.715968,0.377992,,4.43545,-0.00365912,-0.0496221,999.0,,,,14509
Alejandro Mateo,CHW,0,0,0,4.55859,1,0,0,0,1,4,1,1,1,0,0,0,1,8.0919,3.8151,2.12102,1.33,0.204713,0.0965164,0.1081967130303382,0.253553,1.4195,0.294411,0.722655,0.412691,,4.63154,-0.00367283,-0.0511521,999.0,,,,sa918495
Gio GonzÃ¡lez,,0,0,0,4.49829,1,0,0,0,1,4,1,1,0,0,0,0,1,7.2819,3.7242,1.95529,1.172,0.183511,0.0938535,0.0896575227379798,0.260135,1.4437,0.297928,0.717225,0.430015,,4.53682,-0.0036749,-0.0496221,999.0,,,,7448
Stephen Tarpley,,0,0,0,4.39218,1,0,0,0,1,4,1,1,0,0,0,0,1,7.8381,4.1661,1.8814,1.119,0.197438,0.104942,0.0924960300326347,0.253948,1.4518,0.298243,0.724173,0.435006,,4.53766,-0.00368465,-0.0496221,999.0,,,,15859
Blake Parker,,0,0,0,4.53618,1,0,0,0,1,4,1,1,1,0,0,0,1,7.9317,3.4992,2.26672,1.312,0.201901,0.0890722,0.1128293275833129,0.253152,1.3847,0.292448,0.716239,0.386002,,4.53794,-0.00368786,-0.0496221,999.0,,,,5224
Brian Flynn,,0,0,0,4.446,1,0,0,0,1,4,1,1,0,0,0,0,1,7.0452,4.0347,1.74615,1.046,0.177104,0.101425,0.0756787359714508,0.262557,1.4791,0.302142,0.717493,0.461001,,4.53972,-0.00369799,-0.0496124,999.0,,,,12027
Kyle Zurak,,0,0,0,4.52313,1,0,0,0,1,4,1,1,1,0,0,0,1,7.6464,3.9051,1.95805,1.171,0.193179,0.0986585,0.0945202410221099,0.256588,1.4397,0.297834,0.714806,0.429992,,4.53898,-0.00369979,-0.0496221,999.0,,,,sa3004864
A.J. Schugel,,0,0,0,4.32531,1,0,0,0,1,4,1,1,0,0,0,0,1,7.9884,3.5964,2.22122,1.201,0.203812,0.0917566,0.1120551005005836,0.251162,1.3828,0.293672,0.723759,0.414296,,4.39321,-0.00370711,-0.0554721,999.0,,,,11432
Mike Kickham,,0,0,0,4.42827,1,0,0,0,1,4,1,1,0,0,0,0,1,7.3089,3.5937,2.03381,1.185,0.185326,0.0911228,0.0942035615444183,0.259465,1.4204,0.297307,0.720269,0.427995,,4.5397,-0.00370812,-0.0496221,999.0,,,,11618
Yacksel RÃ­os,,0,0,0,4.57776,1,0,0,0,1,4,1,1,1,0,0,0,1,8.4339,4.4469,1.89658,1.119,0.21187,0.111712,0.1001582667231559,0.250935,1.4675,0.301337,0.712058,0.431762,,4.48626,-0.0037233,-0.0462358,999.0,,,,15007
Jordan Zimmermann,,0,0,0,4.61286,1,0,0,0,1,4,1,1,1,0,0,0,1,6.6546,2.0979,3.17203,1.491,0.171994,0.0542219,0.1177715957164764,0.270002,1.3191,0.29525,0.709367,0.396104,,4.6177,-0.00373061,-0.0479646,999.0,,,,4505
Charles Hall,OAK,0,0,0,4.20183,1,0,0,0,1,4,1,1,0,0,0,0,1,7.8003,4.2003,1.85708,1.012,0.198284,0.106772,0.0915122404694557,0.247601,1.4238,0.292637,0.724665,0.447168,,4.35731,-0.00374507,-0.0563902,999.0,,,,sa1170906
James Hoyt,,0,0,0,4.54077,1,0,0,0,1,4,1,1,1,0,0,0,1,7.5672,3.8475,1.96678,1.162,0.191178,0.0972033,0.0939745306968689,0.257258,1.4359,0.298075,0.711552,0.433005,,4.54388,-0.00375636,-0.0496221,999.0,,,,14605
Rob Kaminsky,,0,0,0,4.41963,1,0,0,0,1,4,1,1,0,0,0,0,1,7.4628,4.0293,1.85213,1.115,0.187899,0.10145,0.0864491388201713,0.25729,1.4562,0.298189,0.721961,0.437995,,4.54449,-0.00376341,-0.0496221,999.0,,,,15792
Moises Lugo,SDP,0,0,0,4.35465,1,0,0,0,1,4,1,1,0,0,0,0,1,8.6481,4.2336,2.04273,1.303,0.221202,0.108287,0.1129143759608268,0.23589,1.374,0.278475,0.731232,0.35877,,4.61294,-0.00377093,-0.0520965,999.0,,,,sa3002814
Luis Ledo,LAA,0,0,0,4.58451,1,0,0,0,1,4,1,1,1,0,0,0,1,7.6932,4.2723,1.80072,1.184,0.193175,0.107277,0.0858983024954795,0.257294,1.4809,0.299091,0.71835,0.456177,,4.65595,-0.00378483,-0.0495643,999.0,,,,sa740812
Cameron Junker,PIT,0,0,0,4.58946,1,0,0,0,1,4,1,1,1,0,0,0,1,7.893,4.4244,1.78397,1.119,0.197389,0.110646,0.0867431908845901,0.253751,1.4827,0.298425,0.713722,0.430824,,4.58636,-0.00378751,-0.0485433,999.0,,,,sa3010365
Tanner Anderson,,0,0,0,4.6008,1,0,0,0,1,4,1,1,1,0,0,0,1,5.6871,3.4713,1.63832,0.994,0.142352,0.0868889,0.0554629489779472,0.278427,1.5008,0.307926,0.701913,0.519264,,4.58641,-0.00378801,-0.0485433,999.0,,,,18029
Chris Nunn,,0,0,0,4.36356,1,0,0,0,1,4,1,1,0,0,1,0,1,8.2386,4.6836,1.75903,1.089,0.206497,0.117392,0.089104451239109,0.247764,1.4789,0.295707,0.729821,0.428011,,4.54783,-0.00380202,-0.0496221,999.0,,,,sa658577
Jordan Brink,MIN,0,0,0,4.41117,1,0,0,0,1,4,1,1,0,0,0,0,1,7.6356,3.735,2.04434,1.125,0.193787,0.0947921,0.0989949852228164,0.255381,1.4164,0.297306,0.715402,0.431903,,4.41103,-0.00380665,-0.0529385,999.0,,,,sa829003
Andres Sotillet,,0,0,0,4.52934,1,0,0,0,1,4,1,1,1,0,0,0,1,7.137,3.9582,1.80309,1.095,0.179696,0.0996601,0.0800362452864646,0.262485,1.4721,0.301721,0.712954,0.465999,,4.5487,-0.00381203,-0.0496221,999.0,,,,sa917861
Jimmie Sherfy,LAD,0,0,0,4.64004,1,0,0,0,1,4,1,1,1,0,0,0,1,8.3547,3.0978,2.69698,1.505,0.213206,0.0790537,0.1341525092720985,0.254482,1.3534,0.293354,0.719564,0.354495,,4.59462,-0.00383501,-0.0505636,999.0,,,,15118
A.J. Cole,,0,0,0,4.58604,1,0,0,0,1,4,1,1,1,0,0,0,1,7.9497,3.0969,2.56699,1.431,0.204137,0.0795239,0.1246128901839256,0.254636,1.3493,0.291261,0.716606,0.348011,,4.55103,-0.00383896,-0.0496221,999.0,,,,11467
Matt Mullenbach,MIN,0,0,0,4.41999,1,0,0,0,1,4,1,1,0,0,0,0,1,7.0398,3.4884,2.01806,1.09,0.178748,0.088574,0.0901736691594123,0.261969,1.4212,0.299945,0.711144,0.457462,,4.41398,-0.00384131,-0.0529385,999.0,,,,sa3010581
Kent Hasler,MIL,0,0,0,4.48695,1,0,0,0,1,4,1,1,0,0,0,0,1,8.2557,4.1535,1.98765,1.278,0.209525,0.105413,0.1041114628314971,0.24662,1.4174,0.288955,0.72452,0.397703,,4.62983,-0.0038593,-0.047955,999.0,,,,sa3015089
Dugan Darnell,COL,0,0,0,5.31801,1,0,0,0,1,4,1,1,1,0,0,0,1,8.0487,4.1526,1.93823,1.432,0.199087,0.102716,0.0963713228702545,0.271612,1.5444,0.314902,0.69353,0.40862,,4.90638,-0.00386945,-0.0354951,999.0,,,,sa3014876
Matt Blackham,,0,0,0,4.56435,1,0,0,0,1,4,1,1,1,0,0,0,1,8.4276,4.0932,2.05893,1.265,0.213254,0.103576,0.1096788868308067,0.248813,1.424,0.294018,0.718533,0.381987,,4.55395,-0.00387269,-0.0496221,999.0,,,,sa829631
Andrew SuÃ¡rez,,0,0,0,4.47525,1,0,0,0,1,4,1,1,0,0,0,0,1,6.9732,3.6108,1.93121,1.156,0.176171,0.0912233,0.0849477052688598,0.265661,1.4525,0.302174,0.719035,0.457985,,4.55471,-0.00388142,-0.0496221,999.0,,,,18300
Hunter Stratton,PIT,0,0,0,4.56759,1,0,0,0,1,4,1,1,1,0,1,0,1,8.5626,4.5405,1.88583,1.196,0.214666,0.113831,0.1008348390460014,0.244722,1.4539,0.292111,0.718299,0.383216,,4.59469,-0.00388244,-0.0485433,999.0,,,,sa3004216
Devin Sweet,SEA,0,0,0,4.21092,1,0,0,0,1,4,1,1,0,0,0,0,1,8.1972,3.249,2.52299,1.296,0.212011,0.0840317,0.1279795169830322,0.244329,1.312,0.284405,0.730007,0.375013,,4.37393,-0.00388261,-0.0562802,999.0,,,,sa3008340
Kyle Keller,,0,0,0,4.51512,1,0,0,0,1,4,1,1,1,0,0,0,1,8.7795,3.8529,2.27867,1.354,0.224253,0.0984138,0.1258390843868255,0.243095,1.369,0.288009,0.721267,0.339997,,4.55571,-0.00389296,-0.0496221,999.0,,,,18890
Tim Holdgrafer,,0,0,0,4.55967,1,0,0,0,1,4,1,1,1,0,0,0,1,7.218,3.6522,1.97634,1.17,0.182439,0.0923112,0.0901273861527443,0.261811,1.4382,0.299671,0.710476,0.441999,,4.55653,-0.00390245,-0.0496221,999.0,,,,sa3019458
Ray Black,MIL,0,0,0,4.59918,1,0,0,0,1,4,1,1,1,0,0,0,1,8.6715,3.9132,2.21596,1.399,0.220834,0.0996562,0.1211780980229377,0.24643,1.3926,0.289894,0.722311,0.356592,,4.63511,-0.00391976,-0.047955,999.0,,,,14244
Chris Jefferson,SEA,0,0,0,4.23783,1,0,0,0,1,4,1,1,0,0,0,0,1,8.217,3.7782,2.17484,1.184,0.210175,0.0966391,0.1135359108448028,0.246163,1.3757,0.290401,0.728983,0.412112,,4.37905,-0.00394361,-0.0562802,999.0,,,,sa3017816
Justin Dillon,,0,0,0,4.55382,1,0,0,0,1,4,1,1,1,0,0,0,1,7.7625,3.7449,2.07282,1.243,0.196918,0.095,0.1019178032875061,0.255018,1.416,0.295104,0.714026,0.410026,,4.56018,-0.00394451,-0.0496221,999.0,,,,sa659283
Julian FernÃ¡ndez,TOR,0,0,0,5.2902,1,0,0,0,1,4,1,1,1,0,0,0,1,8.1423,4.0572,2.00688,1.469,0.202122,0.100715,0.1014075055718422,0.26918,1.522,0.311851,0.694478,0.394034,,4.91442,-0.00395685,-0.0354951,999.0,,,,18341
Joe Beimel,,0,0,0,4.34601,1,0,0,0,1,4,1,1,0,0,0,0,1,7.1703,3.1914,2.24676,1.338,0.184678,0.0821975,0.102480299770832,0.254558,1.3528,0.285468,0.729295,0.380722,,4.6298,-0.00397535,-0.052106,999.0,,,,979
Alex Wilson,,0,0,0,4.54113,1,0,0,0,1,4,1,1,1,0,0,0,1,7.3143,3.8529,1.89839,1.157,0.184077,0.0969649,0.087112121284008,0.26163,1.4607,0.300792,0.715534,0.448992,,4.56285,-0.00397542,-0.0496221,999.0,,,,9239
Kyle Johnston,TOR,0,0,0,4.41846,1,0,0,0,1,4,1,1,0,0,0,0,1,6.8418,3.7143,1.84202,1.114,0.173087,0.0939663,0.0791211351752281,0.259922,1.4324,0.294796,0.714472,0.48779,,4.60784,-0.00398316,-0.0521277,999.0,,,,sa3004571
Sean McLaughlin,,0,0,0,4.56363,1,0,0,0,1,4,1,1,1,0,0,0,1,7.0992,3.3417,2.12443,1.212,0.180132,0.084791,0.0953413993120193,0.262339,1.4083,0.297855,0.707266,0.435004,,4.5638,-0.00398632,-0.0496221,999.0,,,,sa659266
Robbie Baker,MIL,0,0,0,4.53843,1,0,0,0,1,4,1,1,1,0,0,0,1,7.0893,3.3048,2.14515,1.298,0.181039,0.0843944,0.0966444462537765,0.260098,1.3923,0.292721,0.71422,0.426375,,4.64132,-0.0039909,-0.047955,999.0,,,,sa3008103
Riley O'Brien,SEA,0,0,0,4.06134,1,0,0,0,1,4,1,0,0,0,0,0,1,8.1855,3.9978,2.0475,1.036,0.208888,0.102021,0.1068672537803649,0.244256,1.3861,0.291988,0.731217,0.462232,,4.28328,-0.00399388,0.0546627,999.0,,,,20348
Noe Toribio,PIT,0,0,0,4.6071,1,0,0,0,1,4,1,1,1,0,0,0,1,6.5754,3.9186,1.678,1.019,0.164254,0.0978867,0.066366896033287,0.267874,1.4946,0.304146,0.703172,0.498299,,4.60482,-0.00399802,-0.0485433,999.0,,,,sa3003041
Andrew Cabezas,MIN,0,0,0,4.4676,1,0,0,0,1,4,1,1,0,0,0,0,1,7.6383,3.4731,2.19927,1.186,0.194255,0.0883268,0.1059281304478645,0.256346,1.3948,0.296804,0.711883,0.412216,,4.42804,-0.00400689,-0.0529385,999.0,,,,sa3007461
Cameron Bishop,,0,0,0,4.20687,1,0,0,0,1,4,1,1,0,0,0,0,1,7.7202,3.8196,2.02121,1.102,0.195934,0.0969392,0.0989949777722358,0.25233,1.4101,0.295014,0.729649,0.444202,,4.40341,-0.0040264,-0.0520692,999.0,,,,sa829601
Colton Hock,MIA,0,0,0,4.49289,1,0,0,0,1,4,1,1,0,0,0,0,1,6.66,3.1257,2.13072,1.188,0.170154,0.0798574,0.0902966260910034,0.264869,1.3974,0.29687,0.70856,0.438104,,4.50163,-0.00402652,-0.0510779,999.0,,,,sa915685
Javy Guerra,MIL,3,3,0,4.27903,60,0,0,11,60,260,57,31,29,8,26,2,58,8.63344,3.86422,2.2342,1.189,0.2214,0.099096,0.1223041713237762,0.245329,1.37692,0.294278,0.726308,0.414425,,4.32236,-0.0040328,0.0149027,999.0,,,,17292
Andrew Lee,,0,0,0,4.52682,1,0,0,0,1,4,1,1,1,0,0,0,1,7.8696,4.1742,1.8853,1.159,0.198142,0.105099,0.0930432826280593,0.253504,1.4531,0.296801,0.716524,0.426988,,4.56924,-0.00404915,-0.0496221,999.0,,,,sa856275
Hector Lujan,,0,0,0,4.45014,1,0,0,0,1,4,1,1,0,0,0,0,1,7.9335,3.5415,2.24015,1.23,0.202318,0.0903144,0.1120036765933036,0.25204,1.3818,0.29336,0.71577,0.388719,,4.4335,-0.00406067,-0.0529287,999.0,,,,sa876201
Glenn Albanese Jr.,LAA,0,0,0,4.66632,1,0,0,0,1,4,1,1,1,0,0,0,1,7.713,3.6936,2.08821,1.332,0.195216,0.0934852,0.1017312034964561,0.258324,1.4275,0.296389,0.714578,0.414253,,4.68053,-0.00406139,-0.0495643,999.0,,,,sa3017302
John Russell,,0,0,0,4.51449,1,0,0,0,1,4,1,1,1,0,0,0,1,7.7103,4.0671,1.89577,1.166,0.194572,0.102635,0.0919373109936714,0.254626,1.4468,0.296245,0.716678,0.428996,,4.57035,-0.00406197,-0.0496221,999.0,,,,sa3004771
Alex McRae,,0,0,0,4.55913,1,0,0,0,1,4,1,1,1,0,0,0,1,6.8832,3.4902,1.97215,1.159,0.174135,0.0882969,0.0858378931879997,0.264965,1.4355,0.30025,0.708247,0.45599,,4.57064,-0.0040653,-0.0496221,999.0,,,,16317
Anderson Espinoza,SDP,0,0,0,4.40793,1,0,0,0,1,4,1,1,0,0,1,0,1,8.6148,4.7079,1.82986,1.198,0.217496,0.118859,0.0986366719007492,0.238383,1.4342,0.284801,0.727815,0.398307,,4.66548,-0.00410305,-0.0520679,999.0,,,,18593
Jensen Elliott,BAL,0,0,0,4.31361,1,0,0,0,1,4,1,1,0,0,0,0,1,5.6412,2.8791,1.95936,1.012,0.143663,0.0733211,0.0703415051102638,0.275403,1.4214,0.303358,0.71006,0.52806,,4.41081,-0.00411354,-0.0520692,999.0,,,,sa3010775
Nick Ramirez,NYY,0,0,0,4.31316,1,0,0,0,1,4,1,1,0,0,0,0,1,7.3872,3.4416,2.14644,1.216,0.187654,0.0874257,0.1002286225557327,0.256801,1.3981,0.293599,0.728073,0.433038,,4.48368,-0.00413,-0.0531027,999.0,,,,12575
Brendan Nail,BOS,0,0,0,4.62276,1,0,0,0,1,4,1,1,1,0,0,0,1,8.1621,4.005,2.03798,1.221,0.205506,0.100838,0.1046680137515068,0.255488,1.4482,0.300806,0.714237,0.395008,,4.5215,-0.00413227,-0.0462358,999.0,,,,sa3005359
Brandon White,,0,0,0,4.56624,1,0,0,0,1,4,1,1,1,0,0,0,1,8.0289,3.8214,2.10104,1.213,0.202612,0.0964343,0.1061775982379913,0.256307,1.4335,0.300445,0.714245,0.413873,,4.48044,-0.00414547,-0.0470261,999.0,,,,sa918249
Kyle Mora,ARI,0,0,0,4.67172,1,0,0,0,1,4,1,1,1,0,0,0,1,7.7337,3.7575,2.0582,1.201,0.195251,0.0948648,0.1003862768411636,0.260038,1.4427,0.302315,0.70604,0.40699,,4.50411,-0.00416279,-0.0469932,999.0,,,,sa3018281
Sam Freeman,,0,0,0,4.41666,1,0,0,0,1,4,1,1,0,0,0,0,1,7.7922,4.302,1.8113,1.14,0.196549,0.108513,0.0880363285541534,0.252161,1.4582,0.294857,0.725837,0.418993,,4.5809,-0.00418364,-0.0496221,999.0,,,,6832
Evan Miller,,0,0,0,4.56975,1,0,0,0,1,4,1,1,1,0,0,0,1,6.9624,3.5352,1.96945,1.171,0.176179,0.0894557,0.0867228358983993,0.26353,1.4334,0.299012,0.707855,0.453548,,4.58358,-0.00421454,-0.0496221,999.0,,,,sa915725
