playerid,CBSNAME,Pos,Team,CBS,dup_playerid
15464,Hunter Renfroe,RF,LAA,10,15464
24610,Steven Kwan,LF,CLE,10,24610
3473,Anthony Rizzo,1B,NYY,9,3473
7115,Daniel Bard,RP,COL,9,7115
13152,Jorge Polanco,2B,MIN,9,13152
13892,Paul Sewald,RP,SEA,9,13892
14274,Mitch Haniger,RF,SF,9,14274
17548,Taylor Ward,RF,LAA,9,17548
18882,Brandon Lowe,2B,TB,9,18882
19388,Tony Gonsolin,SP,LAD,9,19388
19569,David Bednar,RP,PIT,9,19569
19716,Dustin May,SP,LAD,9,19716
19959,Jesus Luzardo,SP,MIA,9,19959
21622,Jake McCarthy,RF,ARI,9,21622
22182,Hunter Greene,SP,CIN,9,22182
26378,Nick Lodolo,SP,CIN,9,26378
4676,Charlie Morton,SP,ATL,8,4676
10603,Chris Sale,SP,BOS,8,10603
13145,Josh Bell,1B,CLE,8,13145
13649,Clay Holmes,RP,NYY,8,13649
17988,Tyler Stephenson,C,CIN,8,17988
18679,Freddy Peralta,SP,MIL,8,18679
31838,Kodai Senga,SP,NYM,8,31838
12979,Javier Baez,SS,DET,7,12979
17677,Jeffrey Springs,SP,TB,7,17677
26197,Andrew Vaughn,RF,CHW,7,26197
11737,Nick Castellanos,RF,PHI,6,11737
12304,Chris Bassitt,SP,TOR,6,12304
12552,Eugenio Suarez,3B,SEA,6,12552
12861,Anthony Rendon,3B,LAA,6,12861
16505,Matt Chapman,3B,TOR,6,16505
16997,Gleyber Torres,2B,NYY,6,16997
21390,Joe Ryan,SP,MIN,6,21390
22197,MJ Melendez,C,KC,6,22197
14120,Lance McCullers,SP,HOU,6,14120
15679,Rowdy Tellez,1B,MIL,5,15679
17982,Ty France,1B,SEA,5,17982
18036,Jake Cronenworth,2B,SD,5,18036
20538,Jose Miranda,1B,MIN,5,20538
24064,Ezequiel Tovar,SS,COL,5,24064
26031,Vaughn Grissom,2B,ATL,5,26031
6184,J.D. Martinez,DH,LAD,4,6184
6655,Craig Kimbrel,RP,PHI,4,6655
7739,Travis d'Arnaud,C,ATL,4,7739
11615,Brandon Drury,3B,LAA,4,11615
14168,Jose Berrios,SP,TOR,4,14168
14993,Scott Barlow,RP,KC,4,14993
15474,Lucas Giolito,SP,CHW,4,15474
17085,Pablo Lopez,SP,MIN,4,17085
17998,Peter Fairbanks,RP,TB,4,17998
18373,Ryan Mountcastle,1B,BAL,4,18373
20178,Miguel Vargas,1B,LAD,4,20178
21029,Jhoan Duran,RP,MIN,4,21029
21132,Alexis Diaz,RP,CIN,4,21132
21479,Nico Hoerner,SS,CHC,4,21479
21534,Cal Raleigh,C,SEA,4,21534
22514,Triston Casas,1B,BOS,4,22514
11368,Yasmani Grandal,C,CHW,3,11368
12927,Brandon Nimmo,CF,NYM,3,12927
14366,Joey Meneses,1B,WAS,3,14366
15514,Kendall Graveman,RP,CHW,3,15514
15518,Amed Rosario,SS,CLE,3,15518
15998,Cody Bellinger,CF,CHC,3,15998
17479,Jack Flaherty,SP,STL,3,17479
17919,Ian Happ,LF,CHC,3,17919
20373,Andres Munoz,RP,SEA,3,20373
20970,Oscar Gonzalez,RF,CLE,3,20970
21523,Jonathan India,2B,CIN,3,21523
25976,Riley Greene,CF,DET,3,25976
26299,Josh Jung,3B,TEX,3,26299
30116,Seiya Suzuki,RF,CHC,3,30116
31837,Masataka Yoshida,LF,BOS,3,31837
5933,Jean Segura,2B,MIA,2,5933
6902,Martin Perez,SP,TEX,2,6902
9803,Miles Mikolas,SP,STL,2,9803
10047,Wil Myers,RF,CIN,2,10047
11156,Merrill Kelly,SP,ARI,2,11156
11281,Whit Merrifield,2B,TOR,2,11281
12880,Tyler Anderson,SP,LAA,2,12880
13394,Dylan Floro,RP,MIA,2,13394
13590,Jesse Winker,LF,MIL,2,13590
13769,Adalberto Mondesi,SS,BOS,2,13769
14524,Jose Leclerc,RP,TEX,2,14524
15009,Kyle Finnegan,RP,WAS,2,15009
15362,Jeff McNeil,2B,NYM,2,15362
16535,Danny Jansen,C,TOR,2,16535
17273,Jorge Mateo,SS,BAL,2,17273
17907,Brendan Rodgers,2B,COL,2,17907
18568,Luis Arraez,1B,MIA,2,18568
18577,Ke'Bryan Hayes,3B,PIT,2,18577
19600,Bryan De La Cruz,CF,MIA,2,19600
19883,Alex Lange,RP,DET,2,19883
21454,Lars Nootbaar,RF,STL,2,21454
23735,Luis Garcia,SP,HOU,2,23735
25385,Drew Rasmussen,SP,TB,2,25385
sa3008130,Grayson Rodriguez,SP,BAL,2,sa3008130
5235,Justin Turner,3B,BOS,1,5235
6562,Alex Cobb,SP,SF,1,6562
6632,Carlos Carrasco,SP,NYM,1,6632
7859,Charlie Blackmon,DH,COL,1,7859
9132,Nathan Eovaldi,SP,TEX,1,9132
9774,Christian Vazquez,C,MIN,1,9774
10028,Christian Bethancourt,C,TB,1,10028
11899,Joc Pederson,LF,SF,1,11899
12037,Jon Berti,2B,MIA,1,12037
12532,Kolten Wong,2B,SEA,1,12532
12564,Trevor Story,2B,BOS,1,12564
12768,Sonny Gray,SP,MIN,1,12768
13431,Marcus Stroman,SP,CHC,1,13431
13602,Patrick Wisdom,3B,CHC,1,13602
13620,Carson Kelly,C,ARI,1,13620
14221,Jorge Soler,LF,MIA,1,14221
14309,Frankie Montas,SP,NYY,1,14309
14542,Carlos Estevez,RP,LAA,1,14542
14916,Jon Gray,SP,TEX,1,14916
15112,Ryan McMahon,3B,COL,1,15112
15423,Andrew Heaney,SP,TEX,1,15423
16376,Michael Conforto,RF,SF,1,16376
16426,Thairo Estrada,2B,SF,1,16426
16511,Jordan Montgomery,SP,STL,1,16511
17027,Alex Verdugo,LF,BOS,1,17027
17128,Ramon Laureano,RF,OAK,1,17128
17277,Ranger Suarez,SP,PHI,1,17277
17282,Michael Kopech,SP,CHW,1,17282
18030,Harrison Bader,CF,NYY,1,18030
18171,Seth Brown,LF,OAK,1,18171
18413,Jose Urquidy,SP,HOU,1,18413
18839,Josh Naylor,1B,CLE,1,18839
19238,Lourdes Gurriel,LF,ARI,1,19238
19260,Jake Fraley,LF,CIN,1,19260
19312,Cal Quantrill,SP,CLE,1,19312
19447,Patrick Sandoval,SP,LAA,1,19447
19610,Keibert Ruiz,C,WAS,1,19610
19734,Josh Rojas,3B,ARI,1,19734
20202,Brandon Marsh,LF,PHI,1,20202
20325,Alex Kirilloff,LF,MIN,1,20325
21524,Joey Bart,C,SF,1,21524
21538,Nick Fortes,C,MIA,1,21538
21618,Alec Bohm,3B,PHI,1,21618
21690,Edward Cabrera,SP,MIA,1,21690
22201,MacKenzie Gore,SP,WAS,1,22201
22286,Trevor Rogers,SP,MIA,1,22286
22558,Jarred Kelenic,CF,SEA,1,22558
23460,Brandon Hughes,RP,CHC,1,23460
23550,Aaron Ashby,SP,MIL,1,23550
24729,Logan O'Hoppe,C,LAA,1,24729
25377,Brady Singer,SP,KC,1,25377
26121,Francisco Alvarez,C,NYM,1,26121
27468,Reid Detmers,SP,LAA,1,27468
sa3018099,Oscar Colas,CF,CHW,1,sa3018099
1247,Adam Ottavino,RP,NYM,0,1247
2233,Adam Wainwright,SP,STL,0,2233
2396,Carlos Santana,1B,PIT,0,2396
2429,Corey Kluber,SP,BOS,0,2429
2434,Nelson Cruz,DH,SD,0,2434
2967,Tommy Pham,LF,NYM,0,2967
3516,Eric Hosmer,1B,CHC,0,3516
3548,Liam Hendriks,RP,CHW,0,3548
4106,Michael Brantley,DH,HOU,0,4106
4314,Joey Votto,1B,CIN,0,4314
5038,Josh Donaldson,3B,NYY,0,5038
5343,Brandon Crawford,SS,SF,0,5343
5452,Ji-Man Choi,1B,PIT,0,5452
5517,Kyle Higashioka,C,NYY,0,5517
5760,Avisail Garcia,RF,MIA,0,5760
5827,Wilmer Flores,2B,SF,0,5827
6153,Eduardo Escobar,3B,NYM,0,6153
6887,Martin Maldonado,C,HOU,0,6887
6893,Johnny Cueto,SP,MIA,0,6893
7146,Daniel Hudson,RP,LAD,0,7146
8090,Matt Carpenter,DH,SD,0,8090
8241,David Robertson,RP,NYM,0,8241
8779,Wade Miley,SP,MIL,0,8779
9256,A.J. Pollock,LF,SEA,0,9256
9368,Evan Longoria,3B,ARI,0,9368
9627,Yan Gomes,C,CHC,0,9627
9847,Andrew McCutchen,DH,PIT,0,9847
9874,DJ LeMahieu,3B,NYY,0,9874
10059,Max Stassi,C,LAA,0,10059
10123,Kyle Gibson,SP,BAL,0,10123
10131,Stephen Strasburg,SP,WAS,0,10131
10243,Randal Grichuk,RF,COL,0,10243
10264,Brandon Belt,1B,TOR,0,10264
10324,Marcell Ozuna,DH,ATL,0,10324
10472,Enrique Hernandez,CF,BOS,0,10472
10681,Gio Urshela,3B,LAA,0,10681
10950,Adam Duvall,CF,BOS,0,10950
11265,Jonathan Schoop,2B,DET,0,11265
11423,Jose Quintana,SP,NYM,0,11423
11445,Mark Canha,LF,NYM,0,11445
11674,Jameson Taillon,SP,CHC,0,11674
11680,Elias Diaz,C,COL,0,11680
11760,Drew Smyly,SP,CHC,0,11760
11762,Noah Syndergaard,SP,LAD,0,11762
11836,Taijuan Walker,SP,PHI,0,11836
11861,Jason Adam,RP,TB,0,11861
12049,Kyle Hendricks,SP,CHC,0,12049
12144,Max Kepler,RF,MIN,0,12144
12155,Eddie Rosario,LF,ATL,0,12155
12158,Austin Barnes,C,LAD,0,12158
12180,Jorge Alfaro,C,BOS,0,12180
12730,Nick Martinez,RP,SD,0,12730
12808,Mike Clevinger,SP,CHW,0,12808
12859,James McCann,C,BAL,0,12859
13050,Anthony DeSclafani,SP,SF,0,13050
13164,Eduardo Rodriguez,SP,DET,0,13164
13273,Ross Stripling,SP,SF,0,13273
13338,Omar Narvaez,C,NYM,0,13338
13361,Steven Matz,SP,STL,0,13361
13449,Taylor Rogers,RP,SF,0,13449
13621,Jeimer Candelario,3B,WAS,0,13621
13675,Tyrone Taylor,CF,MIL,0,13675
13723,Jacob Stallings,C,MIA,0,13723
13757,Chris Taylor,LF,LAD,0,13757
13774,Zach Eflin,SP,TB,0,13774
13781,Alex Wood,SP,SF,0,13781
13853,Joey Wendle,3B,MIA,0,13853
14078,Michael Wacha,SP,BOS,0,14078
14111,Eric Haase,C,DET,0,14111
14128,Joey Gallo,LF,MIN,0,14128
14130,Daniel Vogelbach,DH,NYM,0,14130
14387,Harold Ramirez,DH,TB,0,14387
14527,Jorge Lopez,RP,MIN,0,14527
14712,Manuel Margot,RF,TB,0,14712
14813,Kyle Farmer,SS,MIN,0,14813
14854,Mike Yastrzemski,RF,SF,0,14854
14857,Joe Mantiply,RP,ARI,0,14857
14894,Tony Kemp,2B,OAK,0,14894
14986,Giovanny Gallegos,RP,STL,0,14986
15038,German Marquez,SP,COL,0,15038
15117,Hunter Dozier,RF,KC,0,15117
15149,Trey Mancini,DH,CHC,0,15149
15161,Mitch Garver,DH,TEX,0,15161
15223,Adam Frazier,2B,BAL,0,15223
15279,Garrett Cooper,1B,MIA,0,15279
15467,Marco Gonzales,SP,SEA,0,15467
15491,J.P. Crawford,SS,SEA,0,15491
15672,Austin Meadows,RF,DET,0,15672
15674,Reese McGuire,C,BOS,0,15674
15761,Joe Jimenez,RP,ATL,0,15761
15873,Sean Manaea,SP,SF,0,15873
15941,Austin Nola,C,SD,0,15941
16219,J.D. Davis,DH,SF,0,16219
16269,John Means,SP,BAL,0,16269
16337,Nick Gordon,LF,MIN,0,16337
16358,Tyler Mahle,SP,MIN,0,16358
16403,Francisco Mejia,C,TB,0,16403
16512,Isiah Kiner-Falefa,SS,NYY,0,16512
16578,Yandy Diaz,3B,TB,0,16578
16587,Erik Swanson,RP,TOR,0,16587
16609,Bryan Abreu,RP,HOU,0,16609
16622,Luis Urias,3B,MIL,0,16622
16725,Jose Trevino,C,NYY,0,16725
16930,Jonah Heim,C,TEX,0,16930
16939,Lane Thomas,LF,WAS,0,16939
16942,Luis Ortiz,SP,PIT,0,16942
17092,Domingo Acevedo,RP,OAK,0,17092
17149,Domingo German,SP,NYY,0,17149
17232,Yoan Moncada,3B,CHW,0,17232
17312,Justin Steele,SP,CHC,0,17312
17452,Jose Siri,CF,TB,0,17452
17556,Jimmy Herget,RP,LAA,0,17556
17578,J.T. Brubaker,SP,PIT,0,17578
17594,Mitch Keller,SP,PIT,0,17594
17620,Myles Straw,CF,CLE,0,17620
17734,Evan Phillips,RP,LAD,0,17734
17780,Jose Alvarado,RP,PHI,0,17780
17796,Dillon Tate,RP,BAL,0,17796
17859,Adbert Alzolay,RP,CHC,0,17859
17901,Andrew Benintendi,LF,CHW,0,17901
17992,David Fletcher,2B,LAA,0,17992
18289,Brian Anderson,3B,MIL,0,18289
18331,James Kaprielian,SP,OAK,0,18331
18383,Mike Soroka,SP,ATL,0,18383
18400,Juan Yepez,LF,STL,0,18400
18498,Kenta Maeda,SP,MIN,0,18498
18564,Trent Grisham,CF,SD,0,18564
18607,Jared Walsh,1B,LAA,0,18607
18655,A.J. Minter,RP,ATL,0,18655
18795,Ramon Urias,3B,BAL,0,18795
18900,Leody Taveras,CF,TEX,0,18900
19244,Cole Irvin,SP,BAL,0,19244
19249,Seranthony Dominguez,RP,PHI,0,19249
19273,Stone Garrett,LF,WAS,0,19273
19296,Alex Call,LF,WAS,0,19296
19316,Eric Lauer,SP,MIL,0,19316
19343,A.J. Puk,RP,OAK,0,19343
19350,Dean Kremer,SP,BAL,0,19350
19363,Austin Hays,LF,BAL,0,19363
19422,Brian Serven,C,COL,0,19422
19479,Aaron Civale,SP,CLE,0,19479
19493,Zach Jackson,RP,OAK,0,19493
19677,Gregory Soto,RP,PHI,0,19677
19795,Keegan Thompson,SP,CHC,0,19795
19858,Luis Rengifo,2B,LAA,0,19858
19879,Tanner Houck,RP,BOS,0,19879
19911,Jose Suarez,SP,LAA,0,19911
19913,Jesus Sanchez,CF,MIA,0,19913
19953,Joshua Lowe,RF,TB,0,19953
19955,Gavin Lux,2B,LAD,0,19955
19966,Bobby Dalbec,1B,BOS,0,19966
19979,Zach Plesac,SP,CLE,0,19979
19997,Santiago Espinal,2B,TOR,0,19997
20003,Keston Hiura,1B,MIL,0,20003
20020,John Schreiber,RP,BOS,0,20020
20036,Isaac Paredes,3B,TB,0,20036
20070,Bailey Falter,SP,PHI,0,20070
20126,Dylan Carlson,CF,STL,0,20126
20151,James Karinchak,RP,CLE,0,20151
20167,Kyle Muller,SP,OAK,0,20167
20191,Garrett Whitlock,RP,BOS,0,20191
20220,Jo Adell,LF,LAA,0,20220
20367,Brusdar Graterol,RP,LAD,0,20367
20369,Matt Manning,SP,DET,0,20369
20391,Luis Garcia,SS,WAS,0,20391
20437,Royce Lewis,SS,MIN,0,20437
20505,Drew Waters,RF,KC,0,20505
20521,Nick Madrigal,2B,CHC,0,20521
20529,Nolan Jones,RF,COL,0,20529
20543,Elehuris Montero,3B,COL,0,20543
20633,Yusei Kikuchi,SP,TOR,0,20633
21170,Dany Jimenez,RP,OAK,0,21170
21224,Bailey Ober,SP,MIN,0,21224
21318,Tylor Megill,SP,NYM,0,21318
21448,Davis Martin,SP,CHW,0,21448
21501,Trevor Larnach,LF,MIN,0,21501
21537,Daniel Lynch,SP,KC,0,21537
21707,Oswaldo Cabrera,RF,NYY,0,21707
21780,Esteury Ruiz,LF,OAK,0,21780
21837,Jonathan Aranda,2B,TB,0,21837
21844,Braxton Garrett,SP,MIA,0,21844
21865,Bo Naylor,C,CLE,0,21865
21897,Christopher Morel,CF,CHC,0,21897
21987,Rodolfo Castro,2B,PIT,0,21987
22117,Nick Pratto,1B,KC,0,22117
22168,Akil Baddoo,LF,DET,0,22168
22184,Mark Vientos,3B,NYM,0,22184
22207,DL Hall,RP,BAL,0,22207
22209,Sam Huff,C,TEX,0,22209
22217,Luis Campusano,C,SD,0,22217
22261,Bubba Thompson,LF,TEX,0,22261
22263,Nolan Gorman,2B,STL,0,22263
22267,Tarik Skubal,SP,DET,0,22267
22487,Johan Oviedo,RP,PIT,0,22487
22664,Gabriel Moreno,C,ARI,0,22664
22799,Geraldo Perdomo,SS,ARI,0,22799
22810,Roansy Contreras,SP,PIT,0,22810
22823,Oswald Peraza,SS,NYY,0,22823
23378,Jose Barrero,SS,CIN,0,23378
23733,Ezequiel Duran,3B,TEX,0,23733
23792,Alek Thomas,CF,ARI,0,23792
23920,Brayan Bello,SP,BOS,0,23920
24580,Josiah Gray,SP,WAS,0,24580
24586,Kyle Bradish,SP,BAL,0,24586
24617,Jarren Duran,CF,BOS,0,24617
24679,Brendan Donovan,RF,STL,0,24679
24782,David Villar,3B,SF,0,24782
25388,Cody Morris,SP,CLE,0,25388
25660,Will Brennan,LF,CLE,0,25660
25768,C.J. Abrams,SS,WAS,0,25768
25816,Shea Langeliers,DH,OAK,0,25816
25845,Michael Toglia,RF,COL,0,25845
25880,Hunter Brown,RP,HOU,0,25880
25961,Kerry Carpenter,LF,DET,0,25961
26123,Brett Baty,3B,NYM,0,26123
26151,Kyle Stowers,LF,BAL,0,26151
26253,Ryne Nelson,SP,ARI,0,26253
26260,Drey Jameson,SP,ARI,0,26260
26294,Bryson Stott,SS,PHI,0,26294
26323,Spencer Steer,3B,CIN,0,26323
26368,J.J. Bleday,CF,MIA,0,26368
26466,Matt Wallner,RF,MIN,0,26466
27465,Spencer Torkelson,1B,DET,0,27465
27473,Cade Cavalli,SP,WAS,0,27473
27506,Ha-seong Kim,SS,SD,0,27506
27552,Graham Ashcraft,SP,CIN,0,27552
27555,Garrett Mitchell,CF,MIL,0,27555
27581,Hayden Wesneski,SP,CHC,0,27581
27615,Alec Burleson,RF,STL,0,27615
27681,Ken Waldichuk,SP,OAK,0,27681
27684,Michael Massey,2B,KC,0,27684
27779,Bryce Elder,SP,ATL,0,27779
30115,Robert Suarez,RP,SD,0,30115
sa3008272,Endy Rodriguez,C,PIT,0,sa3008272
sa3008392,Curtis Mead,3B,TB,0,sa3008392
sa3015051,Matt Mervis,1B,CHC,0,sa3015051
sa3017047,Sal Frelick,CF,MIL,0,sa3017047
sa3017880,Andrew Painter,SP,PHI,0,sa3017880
sa917288,Enmanuel Valdez,2B,BOS,0,sa917288
10133,Brad Boxberger,RP,CHC,0,10133
20302,David Peterson,SP,NYM,0,20302
23429,JP Sears,SP,OAK,0,23429
14843,Michael Lorenzen,SP,DET,0,14843
6398,Trevor May,RP,OAK,0,6398
21853,Will Benson,CF,CLE,0,21853
