playerid,Name,Team,G,PA,AB,H,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA
10655,Rob Brantly,,76,271,245,60,6,32,26,17,47,7,0,0,0.245,0.311,0.367,0.678,0.297
18353,Daz Cameron,DET,102,426,383,86,11,48,40,33,120,8,14,5,0.225,0.299,0.379,0.677,0.296
12984,Jackie Bradley Jr.,BOS,129,458,410,90,10,53,44,35,128,9,8,2,0.22,0.293,0.366,0.659,0.288
sa3007519,Logan O'Hoppe,PHI,106,437,402,96,14,53,48,25,90,3,4,2,0.239,0.286,0.388,0.674,0.291
15958,Travis Demeritte,ATL,114,438,390,89,19,56,57,41,147,4,6,2,0.228,0.307,0.438,0.745,0.319
sa735825,David Rodríguez,,68,253,232,50,6,24,22,18,71,2,2,0,0.216,0.277,0.341,0.617,0.269
16925,Aramis Garcia,CIN,84,320,294,66,12,36,38,18,98,3,0,1,0.224,0.274,0.398,0.672,0.289
sa3004179,Matt Batten,SDP,126,496,453,108,7,59,33,38,139,1,19,5,0.238,0.298,0.329,0.626,0.277
19873,Drew Ellis,ARI,114,463,404,86,13,51,48,46,132,7,1,2,0.213,0.302,0.369,0.671,0.295
sa3014510,Nick Gonzales,PIT,86,398,367,83,9,49,39,26,104,3,5,1,0.226,0.282,0.368,0.65,0.282
18839,Josh Naylor,CLE,115,426,391,101,14,50,48,32,75,2,2,1,0.258,0.317,0.425,0.741,0.319
7216,César Puello,,71,247,214,50,5,28,25,19,62,11,5,1,0.234,0.327,0.336,0.663,0.297
sa3007063,David Villar,SFG,110,464,423,91,13,48,44,30,141,9,3,1,0.215,0.28,0.355,0.635,0.278
sa3011257,Tyler Fitzgerald,SFG,98,415,382,80,11,44,40,26,128,5,7,2,0.209,0.268,0.348,0.616,0.269
sa876060,Griffin Conine,MIA,106,456,418,90,23,46,56,32,184,5,2,1,0.215,0.279,0.416,0.695,0.298
9929,Darin Ruf,SFG,116,417,369,88,17,47,52,41,116,5,2,1,0.238,0.321,0.431,0.752,0.324
13807,Kevin Plawecki,BOS,61,183,164,42,3,17,19,14,31,4,0,0,0.256,0.33,0.384,0.714,0.314
16404,Domingo Leyba,SDP,104,410,375,87,11,48,47,28,85,3,1,2,0.232,0.289,0.381,0.67,0.29
sa917288,Enmanuel Valdez,HOU,107,438,401,85,16,48,56,26,105,3,4,2,0.212,0.263,0.382,0.644,0.276
4418,Jed Lowrie,,120,440,395,93,11,45,58,40,94,2,0,0,0.235,0.307,0.377,0.684,0.298
12779,Andy Burns,LAD,91,347,310,70,11,39,38,32,82,2,7,3,0.226,0.301,0.377,0.678,0.296
18482,Chris Gittens,,86,342,295,64,16,41,48,41,113,3,0,0,0.217,0.317,0.41,0.727,0.317
15402,Jack Mayfield,LAA,111,420,387,89,15,46,51,23,91,4,6,1,0.23,0.278,0.403,0.681,0.292
18206,Nick Dini,NYM,61,220,199,46,8,27,24,13,48,4,4,1,0.231,0.289,0.397,0.686,0.296
sa3014468,Carson Taylor,LAD,85,361,329,80,11,49,44,25,75,1,1,0,0.243,0.296,0.383,0.679,0.295
16959,Eddy Alvarez,,66,254,226,54,7,33,32,20,60,6,4,3,0.239,0.316,0.394,0.71,0.309
sa3004723,Nick Allen,OAK,96,406,372,87,7,49,38,24,86,3,8,5,0.234,0.284,0.347,0.63,0.275
sa872839,Diego Castillo,PIT,113,466,426,106,10,49,38,32,63,4,7,3,0.249,0.306,0.378,0.684,0.299
17276,Alex Jackson,MIA,85,311,276,50,13,33,33,22,123,11,1,0,0.181,0.268,0.366,0.634,0.275
3269,Robinson Canó,NYM,73,285,265,69,8,29,31,15,47,3,0,0,0.26,0.305,0.408,0.713,0.305
17922,Isan Díaz,MIA,125,453,401,89,10,51,42,48,121,2,4,3,0.222,0.308,0.349,0.657,0.289
10839,Rangel Ravelo,,87,319,287,74,10,39,43,25,57,5,0,1,0.258,0.326,0.418,0.744,0.323
