,index,Avail,Player,AB,R,H,HR,RBI,BB,K,SB,CS,BA,OBP,SLG,Rank,Team,Pos,Owner,top_50,top_100,top_276,above_276,Start,IP,APP,GS,QS,CG,W,L,S,BS,HD,SO,BBa,Ha,ERA,WHIP,Sv+Hld,ER,C,1B,2B,3B,SS,MI,CI,OF,DH,SP,RP,P,type,zlgBA,zlgERA,zlgWHIP,zR,zHR,zRBI,zSB,zzlgBA,BIGAAh,zW,zSO,zSv+Hld,zzlgERA,zzlgWHIP,BIGAAp,z,all_pos
44,11,Brewbi...,Willy Adames,20.7,3.0,4.9,0.9,3.4,2.0,6.0,0.3,0.2,0.239,0.308,0.429,380.0,MIL,SS,Brewbirds,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,82,82,0,0,5,0,0,0.0,h,-0.805920225190154,,,-0.07230373179782446,0.20327518014374418,0.5353100639021896,-0.34070018060792906,-1.622916032091531,-1.2973347004513507,,,,,,0.0,-1.2973347004513507,"['SS', 'MI', 'DH']"
45,12,Brewbi...,Whit Merrifield,18.3,2.4,5.0,0.5,2.5,1.4,3.6,0.9,0.4,0.271,0.326,0.408,405.0,TOR,2B,Brewbirds,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,52,0,0,52,0,44,5,0,0,0.0,h,-0.04436425705216607,,,-0.9774393372669115,-1.1308415361394744,-0.721181613868229,1.148394574290516,-0.08933820218347391,-1.7704061151675727,,,,,,0.0,-1.7704061151675727,"['2B', 'OF', 'MI', 'DH']"
46,13,Brewbi...,Joey Votto,16.8,2.4,4.1,0.9,3.4,2.0,4.3,0.0,0.0,0.246,0.339,0.476,493.0,CIN,1B,Brewbirds,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0,0,0,0,15,0,5,0,0,0.0,h,-0.5308917769659232,,,-0.9774393372669115,0.20327518014374418,0.5353100639021896,-1.0852475580571515,-1.0690794810866893,-2.3931811323648184,,,,,,0.0,-2.3931811323648184,"['1B', 'CI', 'DH']"
47,14,Brewbi...,Taylor Walls,19.6,3.0,3.7,0.5,2.0,2.7,5.1,1.4,0.1,0.187,0.29,0.311,560.0,TB,SS,Brewbirds,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,36,37,11,47,37,0,5,0,0,0.0,h,-1.70270707312691,,,-0.07230373179782446,-1.1308415361394744,-1.419232545962906,2.38930687003922,-3.428814069384235,-3.6618850132452194,,,,,,0.0,-3.6618850132452194,"['2B', '3B', 'SS', 'MI', 'CI', 'DH']"
48,15,Brewbi...,Zack Gelof,20.9,2.7,5.2,0.5,2.3,1.9,4.8,0.5,0.1,0.249,0.321,0.391,571.0,OAK,2B,Brewbirds,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,3,0,0,5,0,0,0.0,h,-0.5610498892016533,,,-0.5248715345323676,-1.1308415361394744,-1.0004019867061,0.15566473769155265,-1.1298101617609881,-3.630260481447378,,,,,,0.0,-3.630260481447378,['DH']
49,16,Brewbi...,Leody Taveras,11.8,1.7,3.1,0.4,1.7,0.8,3.0,0.3,0.1,0.262,0.312,0.438,694.0,TEX,CF,Brewbirds,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,77,5,0,0,0.0,h,-0.1526501766784456,,,-2.033430876980846,-1.464370715210279,-1.8380631052197123,-0.34070018060792906,-0.30739819065168644,-5.983963068670453,,,,,,0.0,-5.983963068670453,"['OF', 'DH']"
50,17,Brewbi...,Randal Grichuk,13.2,1.8,3.6,0.4,1.7,0.9,3.5,0.1,0.0,0.272,0.328,0.446,707.0,COL,RF,Brewbirds,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,52,5,0,0,0.0,h,-0.038557824758938875,,,-1.8825749427359981,-1.464370715210279,-1.8380631052197123,-0.8370650989074105,-0.0776455410944573,-6.099719403167858,,,,,,0.0,-6.099719403167858,"['OF', 'DH']"
51,18,Brewbi...,Trevor Story,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,BOS,2B,Brewbirds,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5.0,p,,-0.0,-0.0,,,,,,0.0,-1.6657233398537585,-2.2680574787429593,-0.5148217321916031,1.0548303090928963e-15,1.2728728818338194e-15,-4.448602550788319,-4.448602550788319,['P']
52,19,Brewbi...,Jo Adell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,LAA,LF,Brewbirds,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,5.0,p,,-0.0,-0.0,,,,,,0.0,-1.6657233398537585,-2.2680574787429593,-0.5148217321916031,1.0548303090928963e-15,1.2728728818338194e-15,-4.448602550788319,-4.448602550788319,['P']
53,0,Brewbi...,Logan Webb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SF,SP,Brewbirds,1.0,1.0,1.0,0.0,1.0,14.0,2.0,2.0,1.5,0.1,1.0,0.4,0.0,0.0,0.0,12.5,2.8,11.8,2.94,1.05,0.0,4.573333333333333,0,0,0,0,0,0,0,0,0,19,0,5.0,p,,8.40777430400476,2.4805419085901406,,,,,,0.0,2.688325677989399,2.0800898616077963,-0.5148217321916031,2.3010644645876,3.0510839902606386,9.60574226225383,9.60574226225383,"['SP', 'P']"
54,1,Brewbi...,Aaron Nola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,PHI,SP,Brewbirds,1.0,1.0,1.0,0.0,1.0,12.2,2.0,2.0,1.1,0.0,0.8,0.6,0.0,0.0,0.0,13.1,3.0,11.3,3.61,1.13,0.0,4.8935555555555545,0,0,0,0,0,0,0,0,0,19,0,5.0,p,,-0.847225249367277,0.5844722346285511,,,,,,0.0,1.8175158744207676,2.288800933944632,-0.5148217321916031,-0.23187110456709228,0.7189049584897316,4.078528930096436,4.078528930096436,"['SP', 'P']"
55,2,Brewbi...,Taj Bradley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,TB,SP,Brewbirds,1.0,1.0,1.0,0.0,1.0,10.0,2.0,2.0,0.4,0.0,0.9,0.5,0.0,0.0,0.0,11.8,2.6,9.7,4.09,1.23,0.0,4.544444444444444,0,0,0,0,0,0,0,0,0,13,0,5.0,p,,-5.494446925710889,-0.09961292243561104,,,,,,0.0,2.252920776205083,1.836593610548154,-0.5148217321916031,-1.5037364367991888,-0.12252459505475834,1.9484316227076868,1.9484316227076868,"['SP', 'P']"
