"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Javier Báez","DET","120","480","449","117","23","2","21","64","68","22","136","6","13","5","",".260",".303",".465",".769",".325","","-0.2","1.6","","3.1","6.8","2.6","12979"
"Cody Bellinger","LAD","112","446","392","94","20","3","22","63","70","49","110","2","10","2","",".241",".327",".472",".799",".336","","0.8","1.8","","7.9","3.5","2.6","15998"
"George Springer","TOR","89","388","342","92","17","2","21","64","55","39","83","5","5","2","",".268",".350",".514",".864",".366","","0.4","-0.3","","14.7","-2.4","2.6","12856"
"Anthony Rendon","LAA","91","396","340","91","22","1","14","52","59","47","61","5","3","0","",".267",".363",".462",".825",".354","","0.0","-1.4","","12.0","0.0","2.6","12861"
"Enrique Hernández","BOS","120","468","415","106","26","2","17","64","58","43","92","6","2","1","",".255",".331",".452",".783",".336","","-0.1","2.7","","4.8","4.5","2.5","10472"
"Anthony Rizzo","NYY","114","477","407","105","18","2","22","61","69","49","75","19","6","2","",".258",".363",".476",".838",".359","","-0.4","0.3","","16.9","-8.1","2.5","3473"
"Harrison Bader","STL","113","387","345","84","18","2","13","51","42","32","94","9","11","2","",".244",".321",".418",".739",".317","","1.5","8.5","","2.0","10.1","2.5","18030"
"Luis Urías","MIL","114","451","389","99","19","2","15","59","58","50","96","9","5","2","",".254",".350",".432",".782",".340","","-0.4","-0.7","","5.7","4.2","2.5","16622"
"Trent Grisham","SDP","120","486","420","100","20","4","14","58","54","57","115","4","11","3","",".237",".333",".407",".741",".323","","0.7","3.7","","3.4","5.3","2.5","18564"
"Myles Straw","CLE","132","525","466","126","21","3","3","71","32","53","101","2","27","5","",".271",".345",".349",".694",".309","","3.2","5.0","","-0.1","6.9","2.5","17620"
"Jeff McNeil","NYM","109","428","387","112","23","2","9","54","44","29","55","9","4","1","",".288",".351",".432",".783",".339","","0.3","1.0","","10.0","0.0","2.4","15362"
"Brandon Nimmo","NYM","88","359","296","76","15","4","10","46","29","52","76","7","4","3","",".257",".379",".431",".810",".355","","-0.8","-1.3","","12.0","0.0","2.4","12927"
"Andrés Giménez","CLE","116","402","370","96","18","3","13","49","43","17","96","11","16","4","",".259",".310",".429",".739",".317","","1.0","6.9","","1.0","9.2","2.4","19950"
"Dansby Swanson","ATL","127","515","466","115","26","3","18","65","64","42","136","4","9","2","",".248",".313",".434",".747",".318","","0.3","3.4","","-2.6","9.1","2.4","18314"
"Ketel Marte","ARI","111","460","418","115","28","5","13","56","50","35","76","4","4","1","",".276",".336",".464",".801",".341","","0.1","0.0","","6.6","1.6","2.4","13613"
"Paul Goldschmidt","STL","126","537","473","127","24","2","20","71","70","59","118","2","7","1","",".269",".351",".455",".806",".347","","1.3","0.0","","15.2","-9.6","2.4","9218"
