,,,,G,AB,PA,H,HR,R,RBI,BB,HBP,SB,AVG,,,,,lg_zBA,,,
,,,MEAN,145,533.4,600.4,143.7,24.4,82.5,78.9,55.3,6.6,8.6,0.269,,,,,0.20088,,,
,,,STDEV,10.8,53.6,59.6,22.5,10.4,17.6,19.9,20.9,5,8.8,0.026,,,,,13.92049032,,,
,,,,,,,,,,,,,,,,,,,,,,
playerid,Year,Name,Team,G,AB,PA,H,HR,R,RBI,BB,HBP,SB,AVG,zSB,zHR,zR,zRBI,zBA,zAVG,Total Z,adjZ
10348,2019,Domingo Santana,SEA,121,451,507,114,21,63,69,50,2,8,0.252771619,-0.0682,-0.326923077,-1.107954545,-0.497487437,-7.319,-0.540201978,-2.5407,-1.651486756
14350,2021,Raimel Tapia,COL,133,487,533,133,6,69,50,40,1,20,0.273100616,1.2955,-1.769230769,-0.767045455,-1.452261307,1.997,0.129027323,-2.5641,-1.66663618
15149,2021,Trey Mancini,BAL,147,556,616,142,21,77,71,51,8,0,0.255395683,-0.9773,-0.326923077,-0.3125,-0.396984925,-7.564,-0.557801933,-2.5715,-1.67146373
9077,2019,Lorenzo Cain,MIL,148,562,623,146,11,75,48,50,6,18,0.259786477,1.0682,-1.288461538,-0.426136364,-1.552763819,-5.178,-0.386399924,-2.5856,-1.680626888
11342,2021,Jesus Aguilar,MIA,131,449,510,117,22,49,93,46,3,0,0.260579065,-0.9773,-0.230769231,-1.903409091,0.708542714,-3.781,-0.286044264,-2.6890,-1.747819189
3473,2021,Anthony Rizzo,- - -,141,496,576,123,22,73,61,52,23,6,0.247983871,-0.2955,-0.230769231,-0.539772727,-0.899497487,-10.424,-0.763254466,-2.7287,-1.773686497
13621,2021,Jeimer Candelario,DET,149,557,626,151,16,75,67,65,4,0,0.271095153,-0.9773,-0.807692308,-0.426136364,-0.59798995,1.167,0.069402986,-2.7397,-1.780797436
12164,2021,Miguel Sano,MIN,135,470,532,105,30,68,75,59,2,2,0.223404255,-0.7500,0.538461538,-0.823863636,-0.195979899,-21.43,-1.553887536,-2.7853,-1.810425197
14854,2021,Mike Yastrzemski,SFG,139,468,532,105,25,75,71,51,9,4,0.224358974,-0.5227,0.057692308,-0.426136364,-0.396984925,-20.892,-1.515239472,-2.8034,-1.822207221
15491,2021,J.P. Crawford,SEA,160,619,687,169,9,89,54,58,5,3,0.273021002,-0.6364,-1.480769231,0.369318182,-1.251256281,2.489,0.164370905,-2.8347,-1.84255504
10472,2021,Enrique Hernandez,BOS,134,508,585,127,20,84,60,61,9,1,0.25,-0.8636,-0.423076923,0.085227273,-0.949748744,-9.652,-0.707796649,-2.8590,-1.858370414
12916,2021,Francisco Lindor,NYM,125,452,524,104,20,73,63,58,5,10,0.230088496,0.1591,-0.423076923,-0.539772727,-0.798994975,-17.588,-1.27789151,-2.8806,-1.872419397
11902,2019,Hanser Alberto,BAL,139,524,550,160,12,62,51,16,4,4,0.305343511,-0.5227,-1.192307692,-1.164772727,-1.40201005,19.044,1.353624991,-2.9282,-1.903325288
14811,2019,Luke Voit,NYY,118,429,510,113,21,72,62,71,9,0,0.263403263,-0.9773,-0.326923077,-0.596590909,-0.849246231,-2.401,-0.186909825,-2.9369,-1.9090128
9874,2021,DJ LeMahieu,NYY,150,597,679,160,10,84,57,73,4,4,0.2680067,-0.5227,-1.384615385,0.085227273,-1.100502513,-0.593,-0.057029342,-2.9796,-1.936770706
4062,2019,Dexter Fowler,STL,150,487,574,116,19,69,67,74,8,8,0.238193018,-0.0682,-0.519230769,-0.767045455,-0.59798995,-15.003,-1.092194028,-3.0446,-1.979017313
15223,2019,Adam Frazier,PIT,152,554,608,154,10,80,50,40,9,5,0.277978339,-0.4091,-1.384615385,-0.142045455,-1.452261307,4.974,0.342884732,-3.0451,-1.97933341
10231,2019,Jose Iglesias,CIN,146,504,530,145,11,62,59,20,3,6,0.287698413,-0.2955,-1.288461538,-1.164772727,-1,9.424,0.66255738,-3.0861,-2.00598543
17919,2021,Ian Happ,CHC,148,465,535,105,25,63,66,62,5,9,0.225806452,0.0455,0.057692308,-1.107954545,-0.648241206,-20.085,-1.457267376,-3.1103,-2.021705578
14130,2019,Daniel Vogelbach,SEA,144,462,558,96,30,73,76,92,2,0,0.207792208,-0.9773,0.538461538,-0.539772727,-0.145728643,-28.278,-2.045824231,-3.1701,-2.060588913
18289,2019,Brian Anderson,MIA,126,459,520,120,20,57,66,44,14,5,0.261437908,-0.4091,-0.423076923,-1.448863636,-0.648241206,-3.471,-0.263774933,-3.1930,-2.075480945
17232,2021,Yoan Moncada,CHW,144,520,616,137,14,74,61,84,10,3,0.263461538,-0.6364,-1,-0.482954545,-0.899497487,-2.88,-0.221319532,-3.2401,-2.106087881
1433,2019,Wilson Ramos,NYM,141,473,524,136,14,52,73,44,4,1,0.287526427,-0.8636,-1,-1.732954545,-0.296482412,8.763,0.61507342,-3.2780,-2.130699936
18564,2021,Trent Grisham,SDP,132,462,527,112,15,61,62,54,6,13,0.242424242,0.5000,-0.903846154,-1.221590909,-0.849246231,-12.278,-0.89643943,-3.3711,-2.19122977
14221,2021,Jorge Soler,- - -,149,516,602,115,27,74,70,67,6,0,0.222868217,-0.9773,0.25,-0.482954545,-0.447236181,-23.804,-1.724427506,-3.3819,-2.198229123
9368,2019,Evan Longoria,SFG,129,453,508,115,20,59,69,43,7,3,0.253863135,-0.6364,-0.423076923,-1.335227273,-0.497487437,-6.857,-0.507013492,-3.3992,-2.209459695
16505,2021,Matt Chapman,OAK,151,529,622,111,27,75,72,80,4,3,0.209829868,-0.6364,0.25,-0.426136364,-0.346733668,-31.301,-2.262986121,-3.4222,-2.224442863
6368,2019,Adam Jones,ARI,137,485,528,126,16,66,67,31,8,2,0.259793814,-0.7500,-0.807692308,-0.9375,-0.59798995,-4.465,-0.335180464,-3.4284,-2.228435769
4314,2019,Joey Votto,CIN,142,525,608,137,15,79,47,76,4,5,0.260952381,-0.4091,-0.903846154,-0.198863636,-1.603015075,-4.225,-0.317939692,-3.4328,-2.231291053
4106,2021,Michael Brantley,HOU,121,469,508,146,8,68,47,33,5,1,0.31130064,-0.8636,-1.576923077,-0.823863636,-1.603015075,19.839,1.410735049,-3.4567,-2.246857017
10243,2021,Randal Grichuk,TOR,149,511,545,123,22,59,81,27,3,0,0.240704501,-0.9773,-0.230769231,-1.335227273,0.105527638,-14.459,-1.053114945,-3.4909,-2.26905675
10556,2021,Cesar Hernandez,- - -,149,570,637,132,21,84,62,59,5,1,0.231578947,-0.8636,-0.326923077,0.085227273,-0.849246231,-21.33,-1.546703881,-3.5013,-2.275833482
8202,2021,Josh Harrison,- - -,138,505,558,141,8,58,60,31,18,9,0.279207921,0.0455,-1.576923077,-1.392045455,-0.949748744,5.155,0.355887148,-3.5174,-2.286294128
12552,2021,Eugenio Suarez,CIN,145,505,574,100,31,71,79,56,8,0,0.198019802,-0.9773,0.634615385,-0.653409091,0.005025126,-35.845,-2.589411405,-3.5805,-2.327294263
12984,2019,Jackie Bradley Jr.,BOS,147,494,567,111,21,69,62,56,12,8,0.224696356,-0.0682,-0.326923077,-0.767045455,-0.849246231,-21.886,-1.586645003,-3.5980,-2.338727029
10071,2021,Jonathan Villar,NYM,142,454,505,113,18,63,42,46,3,14,0.248898678,0.6136,-0.615384615,-1.107954545,-1.854271357,-9.126,-0.670010624,-3.6340,-2.362090106
2967,2021,Tommy Pham,SDP,155,475,561,109,15,74,49,78,4,14,0.229473684,0.6136,-0.903846154,-0.482954545,-1.502512563,-18.775,-1.363161495,-3.6388,-2.365244956
7802,2021,Miguel Rojas,MIA,132,495,539,131,9,66,48,37,5,13,0.264646465,0.5000,-1.480769231,-0.9375,-1.552763819,-2.155,-0.169238033,-3.6403,-2.366176204
15986,2019,Willy Adames,TBR,152,531,584,135,20,69,52,46,3,4,0.254237288,-0.5227,-0.423076923,-0.767045455,-1.351758794,-7.839,-0.577556984,-3.6422,-2.367407528
10815,2019,Jurickson Profar,OAK,139,459,518,100,20,65,67,48,8,9,0.217864924,0.0455,-0.423076923,-0.994318182,-0.59798995,-23.471,-1.700505934,-3.6704,-2.385783688
3892,2019,Josh Reddick,HOU,141,501,550,138,14,57,56,36,0,5,0.275449102,-0.4091,-1,-1.448863636,-1.150753769,3.231,0.217673625,-3.7910,-2.464172548
17992,2021,David Fletcher,LAA,157,626,665,164,2,74,47,31,1,15,0.261980831,0.7273,-2.153846154,-0.482954545,-1.603015075,-4.394,-0.330080069,-3.8426,-2.497705026
16909,2019,Colin Moran,PIT,149,466,503,129,13,46,80,30,3,0,0.276824034,-0.9773,-1.096153846,-2.073863636,0.055276382,3.646,0.247485794,-3.8445,-2.498943222
14813,2021,Kyle Farmer,CIN,147,483,529,127,16,60,63,22,18,2,0.262939959,-0.7500,-0.807692308,-1.278409091,-0.798994975,-2.927,-0.22469585,-3.8598,-2.508864945
19734,2021,Josh Rojas,ARI,139,484,550,128,11,69,44,58,0,9,0.26446281,0.0455,-1.288461538,-0.767045455,-1.753768844,-2.196,-0.172183332,-3.9360,-2.558403005
3516,2021,Eric Hosmer,SDP,151,509,565,137,12,53,65,48,5,5,0.269155206,-0.4091,-1.192307692,-1.676136364,-0.698492462,0.079,-0.00875518,-3.9848,-2.590108695
19611,2019,Vladimir Guerrero Jr.,TOR,123,464,514,126,15,52,69,46,2,0,0.271551724,-0.9773,-0.903846154,-1.732954545,-0.497487437,1.184,0.070624207,-4.0409,-2.626608827
10264,2019,Brandon Belt,SFG,156,526,616,123,17,76,57,83,3,4,0.233840304,-0.5227,-0.711538462,-0.369318182,-1.100502513,-18.494,-1.342975425,-4.0471,-2.630590205
11489,2021,Michael A. Taylor,KCR,142,483,528,118,12,58,54,33,5,14,0.244306418,0.6136,-1.192307692,-1.392045455,-1.251256281,-11.927,-0.8712248,-4.0932,-2.660578612
9776,2019,Jason Kipnis,CLE,121,458,511,112,17,52,65,40,2,7,0.244541485,-0.1818,-0.711538462,-1.732954545,-0.698492462,-11.202,-0.819143302,-4.1439,-2.693565519
9112,2019,Khris Davis,OAK,133,481,533,106,23,61,73,47,3,0,0.22037422,-0.9773,-0.134615385,-1.221590909,-0.296482412,-23.389,-1.694615337,-4.3246,-2.810974901
16578,2021,Yandy Diaz,TBR,134,465,541,119,13,62,64,69,3,1,0.255913978,-0.8636,-1.096153846,-1.164772727,-0.748743719,-6.085,-0.451555675,-4.3249,-2.811160515
10231,2021,Jose Iglesias,- - -,137,483,511,131,9,65,48,21,6,5,0.271221532,-0.4091,-1.480769231,-0.994318182,-1.552763819,1.073,0.06265035,-4.3743,-2.843289664
16997,2021,Gleyber Torres,NYY,127,459,516,119,9,50,51,50,1,14,0.259259259,0.6136,-1.480769231,-1.846590909,-1.40201005,-4.471,-0.335611483,-4.4513,-2.893374451
1744,2021,Miguel Cabrera,DET,130,472,526,121,15,48,75,40,5,0,0.256355932,-0.9773,-0.903846154,-1.960227273,-0.195979899,-5.968,-0.443150799,-4.4805,-2.912309954
19892,2021,Pavin Smith,ARI,145,498,545,133,11,68,49,42,4,1,0.267068273,-0.8636,-1.288461538,-0.823863636,-1.502512563,-0.962,-0.083537029,-4.5620,-2.965307235
7802,2019,Miguel Rojas,MIA,132,483,526,137,5,52,46,32,5,9,0.283643892,0.0455,-1.865384615,-1.732954545,-1.653266332,7.073,0.493669651,-4.7125,-3.063112843
4418,2021,Jed Lowrie,OAK,139,457,512,112,14,55,69,49,2,0,0.245076586,-0.9773,-1,-1.5625,-0.497487437,-10.933,-0.79981927,-4.8371,-3.144101632
2396,2021,Carlos Santana,KCR,158,565,659,121,19,66,69,86,3,2,0.214159292,-0.7500,-0.519230769,-0.9375,-0.497487437,-30.985,-2.240285772,-4.9445,-3.213927586
2136,2021,David Peralta,ARI,150,487,538,126,8,57,63,46,3,2,0.258726899,-0.7500,-1.576923077,-1.448863636,-0.798994975,-5.003,-0.373828528,-4.9486,-3.21659664
1744,2019,Miguel Cabrera,DET,136,493,549,139,12,41,59,48,3,0,0.281947262,-0.9773,-1.192307692,-2.357954545,-1,6.383,0.444102431,-5.0834,-3.304231147
19294,2021,Nick Solak,TEX,127,458,511,111,11,57,49,34,15,7,0.242358079,-0.1818,-1.288461538,-1.448863636,-1.502512563,-12.202,-0.890979852,-5.3126,-3.453213251
13185,2019,Orlando Arcia,MIL,152,494,546,110,15,51,59,43,1,8,0.222672065,-0.0682,-0.903846154,-1.789772727,-1,-22.886,-1.658481553,-5.4203,-3.523183464
5343,2019,Brandon Crawford,SFG,147,500,560,114,11,58,59,53,3,3,0.228,-0.6364,-1.288461538,-1.392045455,-1,-20.5,-1.487079544,-5.8040,-3.772567613
15117,2021,Hunter Dozier,KCR,144,487,543,105,16,55,54,43,7,5,0.215605749,-0.4091,-0.807692308,-1.5625,-1.251256281,-26.003,-1.882396079,-5.9129,-3.843408125
8709,2021,Elvis Andrus,OAK,146,497,541,121,3,60,37,31,6,12,0.243460765,0.3864,-2.057692308,-1.278409091,-2.105527638,-12.693,-0.926251598,-5.9815,-3.887986049
11602,2019,Yolmer Sanchez,CHW,149,496,555,125,2,59,43,44,5,5,0.252016129,-0.4091,-2.153846154,-1.335227273,-1.804020101,-8.424,-0.619581366,-6.3218,-4.109147771
17696,2021,Kevin Newman,PIT,148,517,554,117,5,50,39,27,1,6,0.226305609,-0.2955,-1.865384615,-1.846590909,-2.005025126,-22.073,-1.600078437,-7.6125,-4.948146861
