,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
413,Corey Dickerson,WSN,96,370,344,90,60,19,2,8,38,39,20,1,65,3,2,0,7,2,1,0.26127,0.0545296,0.176542,0.308875,0.305475,0.40125,0.307094,0.706726,0.13998,3.92724,0.299709,-0.538053,-0.305831,41.5145,-0.779028,95.8034,-0.843884,-2.47782,-2.647291660308838,-6.924586296081543,0.29927,673.8599853515625,2.75348,-0.436469,0.853251,10762
414,RenÃ© Pinto,TBR,12,43,40,9,6,2,0,1,4,5,2,0,14,0,0,0,1,0,0,0.222092,0.0584482,0.327992,0.1782,0.270577,0.372025,0.281279,0.642602,0.149933,1.94234,0.30564,0.00313488,-0.0350256,3.91681,-0.965156,80.482,-0.0318907,1.54358,-0.984839953482151,2.4375486373901367,0.299061,999.0,1.93391,0.809884,1.7262,19859
415,George Valera,CLE,16,65,57,13,8,3,0,2,7,7,6,0,18,1,0,0,1,1,0,0.225742,0.0981304,0.275873,0.355709,0.308327,0.392114,0.308765,0.700441,0.166372,3.71159,0.285794,-0.07186,0.0183142,7.35575,-0.0504622,100.768,-0.0535458,1.22357,0.0024214051663875,0.7704581022262573,0.297346,999.0,2.00629,0.560733,1.63321,sa3006872
416,TomÃ¡s Nido,NYM,66,236,219,49,35,10,1,4,22,21,11,0,59,2,1,3,8,0,0,0.225535,0.0457328,0.249057,0.183624,0.266569,0.328547,0.261933,0.595116,0.103012,2.51537,0.288824,-0.872591,-0.208899,18.0309,-8.96363,67.0477,-1.08149,-0.0406847,-9.977622985839844,5.067298427224159,0.294676,745.27001953125,1.56082,1.11347,0.984385,13755
417,Sam Hilliard,ATL,41,150,133,27,16,5,1,5,17,16,14,0,50,1,1,0,1,3,1,0.204812,0.0924614,0.335538,0.275562,0.283776,0.365874,0.286591,0.64965,0.161062,5.29257,0.2815,-0.145262,0.281531,14.3618,-2.75199,80.8402,0.136269,2.05126,-3.195380732417106,0.7943093776702881,0.275666,724.5499877929688,6.47863,0.983685,1.24601,17954
418,Brett Wisely,SFG,12,50,45,11,7,2,0,1,6,5,4,0,11,1,0,0,1,2,0,0.233562,0.0791225,0.225512,0.350857,0.300858,0.381094,0.299645,0.681952,0.147532,6.2381,0.284192,-0.0551353,0.071024,5.30486,-0.400209,93.2357,0.0158887,1.07182,-0.3700559884309768,1.3404830396175385,0.273129,999.0,2.40541,1.34533,1.74695,sa1170003
419,Brandon Dixon,SDP,41,157,143,33,20,7,0,7,18,21,11,1,47,2,1,1,6,2,1,0.234747,0.0692222,0.301632,0.229493,0.293969,0.425235,0.310899,0.719204,0.190488,4.10154,0.300231,-0.00549859,-0.100915,18.05,0.143382,101.051,-0.106414,-0.629439,0.0817415565252304,-2.663049459457397,0.26644,999.0,3.90906,0.934973,1.24621,15214
420,Adam Engel,SDP,77,260,239,55,37,12,1,6,28,24,14,0,70,5,1,1,4,10,3,0.23027,0.0546071,0.269105,0.202922,0.285066,0.358704,0.283599,0.64377,0.128434,5.96569,0.300433,-0.197998,0.687759,24.3292,-5.39797,82.0933,0.489761,1.03662,-4.833883881568909,-1.160036325454712,0.262921,744.9099731445312,3.03389,0.331697,1.29317,15082
421,Richie Palacios,CLE,18,64,58,14,10,3,0,1,7,6,6,0,13,1,0,0,1,1,0,0.248044,0.0878919,0.20306,0.432837,0.32143,0.358779,0.302574,0.680209,0.110735,5.19117,0.304692,-0.113288,0.120036,7.00239,-0.367062,96.399,0.00674774,1.30903,-0.2544128419831395,0.6219832897186279,0.253717,999.0,3.78852,1.19318,1.72227,24589
422,Austin Hedges,PIT,86,309,277,52,35,9,0,8,27,28,21,0,77,4,3,6,8,2,1,0.189509,0.0668415,0.250076,0.267284,0.252922,0.308867,0.250254,0.561789,0.119358,2.90751,0.22998,-0.413326,-0.179143,20.7594,-14.6152,57.9355,-0.592468,1.08852,-15.711671710014343,7.710294246673584,0.250796,671.6799926757812,1.61378,-0.537079,0.69876,12976
423,Zack Short,DET,19,63,55,11,7,3,0,1,6,5,7,0,20,1,1,0,1,2,0,0.195847,0.106702,0.308254,0.346149,0.288146,0.321369,0.273121,0.609515,0.125522,5.04885,0.268205,-0.270492,0.230075,5.3992,-1.84174,77.0186,-0.0404175,1.59184,-1.6780595555901527,2.0368637442588806,0.249045,999.0,1.83817,-0.301871,1.65168,19562
424,Keston Hiura,MIL,72,284,251,55,31,11,1,12,34,35,23,0,106,6,2,1,5,4,2,0.218082,0.0818898,0.373628,0.219175,0.298902,0.415272,0.312507,0.714175,0.19719,4.6667,0.315247,0.024416,-0.0890768,33.0666,0.622125,100.521,-0.0646607,-0.764356,0.107003204524517,-7.276035904884338,0.247824,494.3599853515625,2.54608,1.35668,0.699409,20003
425,Ildemaro Vargas,WSN,62,226,211,50,35,11,1,3,21,20,11,0,31,2,2,1,6,3,1,0.238682,0.0489393,0.136615,0.358227,0.279577,0.344909,0.274103,0.624485,0.106226,4.07578,0.264049,-0.0319712,-0.0204576,19.4411,-6.39535,73.2543,-0.0524288,0.326279,-7.073559854179621,1.8453697860240936,0.247823,748.0499877929688,2.71845,1.87138,1.19218,13324
426,Jackie Bradley Jr.,,70,259,234,50,33,11,1,5,26,24,19,0,62,3,1,1,4,3,1,0.212228,0.0732771,0.241087,0.303945,0.278823,0.333709,0.272133,0.612532,0.12148,4.3532,0.265169,0.0911335,-0.0804067,21.8695,-7.73239,75.7234,0.0107268,1.25789,-7.061494925059378,1.1857467964291573,0.247184,999.0,1.30928,0.806395,0.868108,12984
427,Zach McKinstry,CHC,35,129,115,27,17,5,1,3,14,13,10,0,31,1,1,1,3,3,0,0.232671,0.0765547,0.244043,0.313693,0.298095,0.381004,0.297937,0.679099,0.148333,6.00021,0.28981,-0.211227,0.256866,13.5013,-1.20619,92.0495,0.0456386,-0.690049,-1.1237809471786022,-0.7386532053351402,0.245895,624.3599853515625,4.64637,0.00271977,1.45385,19392
428,Kevin Pillar,,36,134,124,29,18,6,1,4,15,16,7,0,28,2,1,0,5,1,1,0.235546,0.0510169,0.207716,0.245609,0.28419,0.402128,0.298661,0.686318,0.166582,4.52913,0.267632,0.218443,-0.0556558,14.1121,-1.17704,92.5522,0.162787,-0.346667,-0.9760202020406724,-1.0529710054397583,0.245867,999.0,4.43286,1.01784,1.36146,12434
429,Owen Miller,MIL,39,153,140,34,23,7,0,3,15,15,10,0,34,2,1,0,3,1,0,0.242674,0.0674282,0.222428,0.303146,0.301712,0.360765,0.292783,0.662477,0.118091,2.91117,0.299504,-0.0459115,-0.0929559,15.484,-2.06768,87.0393,-0.138867,-1.21948,-2.450232967734337,-0.3723015785217285,0.244918,643.72998046875,5.94297,0.453681,1.37025,24655
430,Darin Ruf,NYM,60,221,192,43,27,8,0,8,25,26,25,0,61,3,1,0,5,1,0,0.224456,0.110868,0.274347,0.404115,0.319017,0.388674,0.313732,0.707691,0.164218,3.06048,0.283775,-0.373507,-0.0238487,26.0285,0.701183,103.018,-0.397355,0.0995638,0.3671543896198272,-5.298056893050671,0.242474,724.27001953125,7.04384,1.20491,0.910114,9929
431,JesÃºs Aguilar,,60,248,224,54,35,10,0,9,27,31,19,0,53,2,3,0,4,1,0,0.242136,0.0771089,0.215353,0.358059,0.304818,0.409844,0.311484,0.714662,0.167708,1.99102,0.274871,-0.818188,-0.174949,28.7098,0.342447,103.09,-0.993137,-0.345355,-0.1304667592048645,-5.474529802799225,0.239573,658.27001953125,6.84143,0.0298195,0.903265,11342
432,Franmil Reyes,,74,305,276,65,40,11,1,13,35,41,24,0,94,2,2,0,6,2,1,0.235161,0.0778471,0.309904,0.251197,0.29826,0.427178,0.314944,0.725438,0.192017,3.21095,0.301783,-0.723441,-0.280918,36.1003,1.2579,103.86,-1.00436,0.0,0.3406620025634765,-8.026239395141602,0.238837,517.22998046875,5.51921,1.34807,0.629956,14566
433,Curtis Mead,TBR,9,35,32,8,5,2,0,1,4,4,3,0,7,0,0,0,1,0,0,0.249553,0.0714481,0.207558,0.344231,0.306559,0.401065,0.309724,0.707624,0.151512,3.75729,0.295647,-0.0176512,-0.00349248,4.02121,-0.000620215,100.235,-0.0211437,0.989099,-0.0117079485207796,1.1267939805984497,0.237795,999.0,3.69721,2.3026,1.77989,sa3008392
434,Nick Pratto,KCR,74,296,257,54,30,12,2,10,33,33,31,0,96,3,3,1,6,2,1,0.211044,0.106186,0.325456,0.32627,0.302222,0.388113,0.303991,0.690335,0.177069,4.39317,0.288036,-0.144278,-0.188778,32.5004,-1.35306,96.2536,-0.333056,0.111831,-1.6014695465564728,-5.833767794072628,0.235438,999.0,2.91581,1.33234,0.591865,22117
435,Tyler Heineman,,27,93,84,19,14,4,0,1,8,7,5,0,14,1,1,2,2,1,0,0.228376,0.0577071,0.145745,0.395945,0.28319,0.314024,0.266141,0.597214,0.085648,3.36699,0.259763,-0.215601,0.0101146,7.40202,-3.21519,68.7939,-0.205486,0.60845,-3.571930766105652,2.681646466255188,0.233945,999.0,2.42007,1.74622,1.59973,13897
