Name,Team,GS,G,IP,W,L,SV,HLD,H,ER,HR,SO,BB,WHIP,K/9,BB/9,ERA,FIP,-1,WAR,RA9-WAR,-1,ADP,playerid
Hunter Greene,CIN,19,19,103,8,8,0,0,100,53,17,106,40,1.36,9.34,3.54,4.65,4.58,,1.2,1.1,,437.8,sa3005315
Adrian Houser,MIL,28,28,145,9,9,0,0,148,74,18,111,60,1.44,6.87,3.72,4.57,4.64,,1.2,1.4,,442.4,12718
Mike Soroka,ATL,18,18,100,7,6,0,0,105,48,13,79,29,1.34,7.12,2.62,4.34,4.28,,1.2,1.2,,525.8,18383
Tylor Megill,NYM,21,21,109,6,7,0,0,102,51,17,115,38,1.29,9.55,3.15,4.24,4.29,,1.2,1,,320.5,21318
Triston McKenzie,CLE,23,23,114,7,7,0,0,100,58,20,130,49,1.31,10.23,3.88,4.56,4.6,,1.2,1.2,,237.9,18000
Matthew Boyd,,15,15,81,5,5,0,0,77,39,13,84,23,1.25,9.4,2.61,4.33,4.28,,1.2,1,,592,15440
Zach Plesac,CLE,29,29,164,9,11,0,0,171,85,28,130,44,1.31,7.13,2.42,4.65,4.73,,1.2,1.6,,340.4,19979
Matt Barnes,BOS,0,66,66,6,4,11,10,52,27,8,90,31,1.26,12.27,4.26,3.69,3.54,,1.2,1.2,,272,12863
Johnny Cueto,,26,26,141,8,9,0,0,150,75,23,112,43,1.37,7.14,2.74,4.77,4.76,,1.2,1.1,,591.2,6893
Zach Thompson,PIT,23,51,154,8,9,0,1,156,79,23,132,56,1.38,7.69,3.29,4.6,4.61,,1.2,1,,498.1,16094
Eric Lauer,MIL,23,27,127,7,8,0,1,122,64,21,123,48,1.34,8.77,3.38,4.57,4.62,,1.2,1.3,,310.7,19316
Chad Green,NYY,0,77,77,7,4,1,18,63,31,12,97,22,1.11,11.3,2.59,3.64,3.7,,1.2,1.1,,385.5,15552
Lucas Sims,CIN,0,65,65,4,3,26,4,50,27,10,93,30,1.23,12.89,4.19,3.77,3.84,,1.2,1.1,,232.6,13470
Yonny Chirinos,TBR,16,48,130,7,7,0,1,126,60,18,111,35,1.24,7.64,2.42,4.14,4.21,,1.2,1.2,,601,16401
Aaron Bummer,CHW,0,64,64,4,2,0,16,51,22,5,76,28,1.24,10.62,3.94,3.05,3.22,,1.2,1.3,,585.9,16258
Michael Lorenzen,LAA,18,45,131,6,7,0,1,128,64,17,117,54,1.39,8.02,3.74,4.4,4.46,,1.2,1.3,,526.3,14843
Jordan Romano,TOR,0,66,66,5,3,27,3,51,25,8,86,25,1.16,11.77,3.48,3.37,3.49,,1.1,1.7,,93.5,16122
Luke Weaver,ARI,26,26,132,8,9,0,0,134,70,23,127,43,1.34,8.66,2.89,4.74,4.54,,1.1,1,,470.2,16918
Michael Wacha,BOS,23,41,133,7,7,0,1,144,73,22,119,40,1.39,8.06,2.73,4.94,4.58,,1.1,1.1,,521.3,14078
Aaron Civale,CLE,28,28,154,9,11,0,0,161,81,27,127,41,1.31,7.43,2.41,4.73,4.72,,1.1,1.3,,267.3,19479
Tyler Matzek,ATL,0,68,68,4,2,2,14,52,26,6,88,35,1.29,11.62,4.65,3.4,3.44,,1.1,1.4,,555.1,10058
Kwang Hyun Kim,,24,24,122,7,8,0,0,126,62,18,94,42,1.38,6.93,3.12,4.57,4.69,,1.1,1.2,,563.5,27458
Kris Bubic,KCR,23,23,128,7,8,0,0,126,66,18,113,56,1.42,7.94,3.92,4.66,4.7,,1.1,1.5,,499.1,21455
Matt Manning,DET,26,26,131,7,9,0,0,139,69,19,100,46,1.42,6.9,3.17,4.73,4.71,,1.1,1.3,,527.1,20369
Garrett Richards,,24,24,130,7,7,0,0,137,70,20,110,52,1.45,7.62,3.57,4.84,4.77,,1.1,0.9,,600.2,9784
Tyler Alexander,DET,21,45,136,7,9,0,1,143,71,22,111,40,1.35,7.31,2.64,4.71,4.7,,1.1,1.1,,576.5,17735
Aaron Ashby,MIL,6,61,89,7,5,1,10,74,35,9,105,41,1.3,10.67,4.15,3.55,3.66,,1.1,1.3,,270.6,23550
Cristian Javier,HOU,11,45,110,5,4,0,1,87,51,17,139,52,1.27,11.37,4.28,4.21,4.28,,1.1,1.1,,305.5,17606
Cole Irvin,OAK,29,29,165,10,12,0,0,178,86,27,117,42,1.33,6.37,2.29,4.66,4.77,,1.1,1.2,,511.1,19244
Domingo Germán,NYY,13,51,109,7,6,0,1,102,53,19,117,32,1.23,9.65,2.67,4.34,4.31,,1.1,0.9,,398.4,17149
Madison Bumgarner,ARI,31,31,177,9,11,0,0,187,99,34,145,49,1.34,7.38,2.52,5.04,5.05,,1,1,,470.5,5524
Carlos Hernández,KCR,24,24,132,7,8,0,0,130,70,19,117,59,1.44,8,4.06,4.8,4.75,,1,1.4,,439.8,22713
Elieser Hernandez,MIA,26,26,128,6,7,0,0,124,65,23,129,39,1.27,9.03,2.72,4.58,4.62,,1,0.9,,332.8,16933
Reid Detmers,LAA,16,16,79,5,5,0,0,74,38,13,86,31,1.33,9.84,3.51,4.36,4.4,,1,1,,432.9,27468
Keegan Akin,BAL,21,21,106,6,7,0,0,109,58,19,97,42,1.42,8.26,3.58,4.91,4.99,,1,0.8,,598.1,19362
Joe Ross,WSN,16,16,89,5,6,0,0,90,46,14,84,31,1.36,8.47,3.1,4.64,4.55,,1,0.9,,600,12972
Spencer Howard,TEX,23,23,101,6,6,0,0,99,53,15,99,41,1.39,8.84,3.68,4.69,4.58,,1,0.9,,552.8,23252
Brusdar Graterol,LAD,0,66,66,5,3,7,13,61,26,6,64,22,1.25,8.68,2.97,3.53,3.72,,1,0.9,,562.5,20367
Glenn Otto,TEX,18,18,92,6,7,0,0,90,46,13,90,39,1.4,8.85,3.8,4.54,4.43,,1,0.9,,569.8,21366
James Kaprielian,OAK,23,37,135,7,9,0,1,129,69,23,134,49,1.32,8.92,3.25,4.59,4.67,,1,1,,369.4,18331
Garrett Whitlock,BOS,0,70,70,5,3,20,8,66,30,8,72,23,1.26,9.2,2.91,3.82,3.65,,0.9,1.2,,234.2,20191
J.A. Happ,,26,26,138,8,9,0,0,144,74,23,109,44,1.37,7.12,2.9,4.85,4.86,,0.9,1,,590.3,7410
Garrett Crochet,CHW,3,59,75,6,4,0,10,60,29,8,94,33,1.25,11.24,4.01,3.47,3.58,,0.9,1,,520,27463
Drew Smyly,,23,23,120,7,7,0,0,122,64,22,113,42,1.37,8.49,3.15,4.83,4.81,,0.9,0.9,,566.4,11760
Paul Sewald,SEA,0,67,67,5,4,6,13,54,28,10,87,24,1.16,11.7,3.16,3.78,3.68,,0.9,0.9,,302,13892
Bruce Zimmermann,BAL,23,23,117,6,8,0,0,125,66,21,99,45,1.45,7.56,3.47,5.04,5.15,,0.9,0.8,,597,20370
Chris Archer,,19,19,97,5,6,0,0,96,50,16,98,38,1.38,9.06,3.52,4.64,4.55,,0.9,0.8,,600.8,6345
Mitch Keller,PIT,23,44,133,7,9,0,1,138,70,19,120,58,1.48,8.16,3.92,4.75,4.64,,0.9,0.7,,515.2,17594
Erick Fedde,WSN,23,23,118,7,7,0,0,125,65,19,97,45,1.45,7.43,3.42,4.94,4.85,,0.9,0.8,,576.4,17425
Pete Fairbanks,TBR,0,64,64,6,4,9,10,52,24,7,82,26,1.22,11.48,3.7,3.4,3.45,,0.9,1.1,,500.8,17998
Dakota Hudson,STL,24,38,146,9,9,0,1,146,71,17,105,63,1.43,6.46,3.84,4.36,4.65,,0.9,1.2,,457.2,19206
Grayson Rodriguez,BAL,13,13,63,4,4,0,0,60,32,10,63,24,1.33,9.01,3.44,4.56,4.53,,0.9,0.8,,472.4,sa3008130
David Bednar,PIT,0,64,64,3,3,24,3,54,26,8,76,25,1.22,10.74,3.45,3.67,3.6,,0.8,0.9,,197.4,19569
Reiver Sanmartin,CIN,13,33,90,6,6,0,1,94,45,14,79,29,1.36,7.85,2.93,4.47,4.51,,0.8,0.8,,518,19754
Luis Patiño,TBR,15,55,112,6,6,0,1,102,54,17,118,46,1.31,9.44,3.68,4.33,4.41,,0.8,0.8,,291.2,22815
Tanner Scott,BAL,0,60,60,4,3,2,13,49,24,6,76,32,1.36,11.35,4.87,3.62,3.78,,0.8,0.9,,600.8,17586
Craig Kimbrel,CHW,0,66,66,5,4,4,12,47,27,10,98,32,1.21,13.4,4.41,3.7,3.83,,0.8,1,,149.3,6655
Cole Sulser,BAL,0,66,66,4,4,6,12,58,30,10,73,26,1.28,9.93,3.58,4.05,4.16,,0.8,0.8,,461.4,15256
