,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
63,Ketel Marte,ARI,138,585,522,139,87,32,2,18,70,72,53,3,101,5,4,0,12,3,1,0.265659,0.0910748,0.17233,0.52849,0.337356,0.437522,0.336395,0.774879,0.171864,3.62687,0.296903,,-0.409289,79.3143,12.3867,115.536,-0.409289,-0.4,10.155329406261444,-0.2747277766466141,3.10139,216.63999938964844,,,,13613
64,Brandon Lowe,TBR,134,572,501,118,66,26,2,23,68,74,59,2,145,8,4,0,8,4,1,0.234733,0.102855,0.252646,0.407112,0.32255,0.434027,0.329649,0.756577,0.199294,3.92613,0.280702,,-0.187603,74.5105,9.04854,120.722,-0.187603,-0.48,13.162238761782646,-2.298756569623947,3.05154,176.9499969482422,,,,18882
65,Gleyber Torres,NYY,138,591,531,135,86,25,1,22,72,71,49,2,129,4,5,1,9,11,4,0.253484,0.0826203,0.218777,0.377646,0.318597,0.431902,0.325551,0.750499,0.178417,4.19886,0.291655,,0.0662372,75.0655,7.42438,113.557,0.0662372,0.65,9.09047009050846,0.9757080078125,3.03144,122.9499969482422,,,,16997
66,Ozzie Albies,ATL,136,587,536,139,84,30,3,21,78,71,41,2,109,5,5,1,7,18,5,0.258784,0.0694995,0.185497,0.374666,0.313981,0.446514,0.328177,0.760495,0.187729,5.90061,0.285994,,1.07739,75.74,8.59448,109.264,1.07739,-0.48,7.397613286972046,1.418882995843887,2.99638,53.04999923706055,,,,16556
67,Jazz Chisholm Jr.,MIA,134,569,510,122,71,24,5,22,78,64,49,1,161,6,3,1,6,30,7,0.238409,0.086196,0.282899,0.304689,0.311018,0.432145,0.322971,0.743164,0.193737,7.26202,0.302157,,2.80975,71.0669,5.97811,110.466,2.80975,-1.06,9.731611251831056,-0.4043239951133728,2.98659,48.22999954223633,,,,20454
68,Cal Raleigh,SEA,128,510,460,97,51,21,1,24,55,67,42,1,147,4,3,0,6,1,0,0.211657,0.0820249,0.287788,0.285019,0.281661,0.42086,0.304426,0.702521,0.209203,2.56341,0.249771,,-0.307839,56.147,-2.15405,102.664,-0.307839,7.28,1.2206172049045565,10.987086296081545,2.98364,164.27000427246094,,,,21534
69,Tyler O'Neill,STL,130,555,495,123,72,24,2,25,77,72,48,1,157,8,4,1,7,16,4,0.248379,0.0864179,0.282473,0.305933,0.322629,0.458056,0.338112,0.780686,0.209677,5.57667,0.308898,,1.05786,76.0402,12.5142,121.951,1.05786,-0.56,15.226418495178224,-5.876358091831207,2.94079,108.86000061035156,,,,15711
70,Oneil Cruz,PIT,130,550,500,124,73,25,3,22,73,67,44,1,161,3,3,0,8,19,4,0.247697,0.0794142,0.293346,0.270719,0.310925,0.443542,0.326793,0.754468,0.195846,6.34394,0.318888,,1.72501,70.3426,7.4462,110.25,1.72501,-4.2,8.275174975395203,0.8027348518371582,2.8928,79.31999969482422,,,,21711
71,Cedric Mullins,BAL,147,626,563,139,89,28,4,19,81,64,49,2,118,7,4,2,9,28,7,0.247215,0.0790577,0.188004,0.420511,0.313767,0.409603,0.315684,0.723369,0.162388,6.39377,0.28006,,2.32067,74.5561,2.95288,106.054,2.32067,-1.35,6.586668252944946,0.9185184240341188,2.8782,47.90999984741211,,,,17929
72,Tim Anderson,CHW,139,589,552,159,119,27,2,10,72,58,28,1,113,5,3,1,14,19,6,0.287904,0.0469251,0.190867,0.245853,0.32543,0.402213,0.31824,0.727643,0.114309,5.22701,0.343459,,0.776162,71.4097,3.97772,107.046,0.776162,-3.4,5.45190167427063,3.035184860229492,2.85953,94.36000061035156,,,,15172
73,Masataka Yoshida,BOS,122,522,457,129,83,29,1,16,66,66,55,6,63,6,3,0,12,1,0,0.282729,0.104836,0.120613,0.869192,0.364905,0.458759,0.356159,0.823664,0.17603,2.70634,0.296356,,-0.442823,78.9437,19.2433,128.729,-0.442823,0.0,16.43637552857399,-5.949382781982422,2.84382,999.0,,,,31837
74,Christian Yelich,MIL,146,622,531,134,90,25,3,16,81,60,82,5,148,6,3,1,14,16,5,0.252946,0.131835,0.237858,0.554258,0.35734,0.403298,0.335723,0.760637,0.150352,5.01325,0.319076,,0.587009,84.0464,12.845,116.389,0.587009,1.43,12.443407773971558,-6.53090512752533,2.81656,128.0,,,,11477
75,Luis UrÃ­as,MIL,139,595,521,125,79,24,2,20,69,66,59,1,124,11,4,1,11,4,2,0.239243,0.0984261,0.208916,0.471128,0.327033,0.407033,0.323377,0.734065,0.167789,3.43364,0.274907,,-0.520869,74.4776,6.44069,107.95,-0.520869,-1.07,4.975188672542572,1.38149893283844,2.76561,247.0500030517578,,,,16622
76,Seiya Suzuki,CHC,138,583,505,130,80,28,2,19,73,67,65,3,134,7,4,1,10,9,3,0.25658,0.111544,0.230469,0.483986,0.347216,0.437444,0.342165,0.78466,0.180865,4.46159,0.309807,,-0.104695,81.6817,15.0107,121.617,-0.104695,-0.89,14.538853779435158,-7.785943627357483,2.76508,999.0,,,,30116
77,Brendan Rodgers,COL,136,583,530,148,97,32,2,16,72,70,40,1,107,8,4,1,14,0,0,0.278658,0.0684594,0.182834,0.374435,0.335412,0.440924,0.337621,0.776336,0.162266,2.57596,0.318979,,-0.583622,79.5385,12.9004,103.246,-0.583622,2.99,1.614155352115631,5.088765382766724,2.75882,270.32000732421875,,,,17907
