Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,ADP,InterSD,InterSK,IntraSD,playerid
Kyle Isbel,KCR,95,363,331,83,17,3,9,43,37,27,85,4,10,3,0.25,0.313,0.396,0.709,0.308,93,0.7,506.9,3.37,-0.63,1.09,21614
Bradley Zimmer,CLE,95,360,313,70,13,1,9,43,35,31,125,11,14,3,0.224,0.313,0.364,0.677,0.297,87,0.7,470.6,3.71,-0.27,1.32,16221
Rougned Odor,BAL,92,365,329,70,15,1,18,43,48,27,102,6,2,1,0.213,0.283,0.427,0.71,0.302,88,0.7,456.2,3.73,-0.62,0.64,12282
Dylan Moore,SEA,87,319,282,59,12,1,10,38,33,29,89,6,16,5,0.209,0.296,0.37,0.666,0.293,89,0.7,462.1,3.29,-0.13,1.54,18042
Ji-Man Choi,TBR,106,421,356,83,18,1,14,49,52,56,111,4,1,1,0.233,0.34,0.407,0.748,0.327,105,0.7,555.1,3.12,2.32,0.25,5452
Nolan Gorman,STL,59,245,227,56,11,1,8,29,29,14,59,2,2,0,0.248,0.297,0.416,0.713,0.305,91,0.7,476.8,6.78,0.15,1.1,sa3007017
Matt Thaiss,LAA,52,193,172,39,8,1,6,23,22,19,46,2,1,0,0.228,0.31,0.387,0.697,0.304,91,0.7,579.4,4.7,0.15,1.16,19318
Victor Reyes,DET,79,298,280,74,13,3,6,36,28,15,66,2,8,2,0.265,0.305,0.397,0.702,0.303,90,0.7,592.4,4.68,1,1.36,15487
Luis García,WSN,108,421,397,105,20,2,12,50,47,21,73,2,3,2,0.265,0.304,0.414,0.718,0.309,90,0.6,510.8,1.5,0.17,0.71,20391
Brett Gardner,,88,334,287,66,12,3,8,39,32,39,73,3,4,1,0.228,0.324,0.378,0.702,0.308,93,0.6,598.6,1.82,-0.13,0.78,9927
Oscar Mercado,CLE,85,328,294,71,15,1,8,38,32,25,64,4,10,3,0.241,0.306,0.384,0.691,0.301,89,0.6,588,4.71,0.37,1.2,16375
Nick Gordon,MIN,77,286,264,66,14,2,6,33,29,17,66,3,11,3,0.251,0.302,0.38,0.681,0.296,86,0.6,559.1,4.77,-0.17,1.46,16337
Jarren Duran,BOS,95,392,358,91,19,4,10,50,39,27,106,4,13,4,0.254,0.311,0.407,0.718,0.31,91,0.6,433.3,5.57,-1.08,1.17,24617
Jo Adell,LAA,128,511,471,114,23,3,20,61,67,32,150,5,8,3,0.242,0.297,0.426,0.723,0.31,95,0.6,232.5,3.48,-1.14,0.44,20220
Steven Duggar,SFG,88,319,289,68,15,3,6,38,31,26,94,2,7,2,0.235,0.304,0.374,0.678,0.295,84,0.6,599.6,2.09,-0.59,1.03,17719
Hunter Dozier,KCR,123,496,444,105,23,4,17,57,56,45,135,5,5,2,0.237,0.311,0.423,0.734,0.316,98,0.6,395.3,3.81,-0.11,0.33,15117
Sergio Alcántara,CHC,75,269,237,54,9,1,5,28,22,28,68,2,4,1,0.228,0.313,0.336,0.649,0.289,80,0.6,600.4,3.35,0.57,1.12,16417
Mike Moustakas,CIN,119,461,410,99,21,1,22,55,64,40,93,5,1,1,0.241,0.313,0.453,0.767,0.325,97,0.6,362.5,4.15,-0.55,0.46,4892
