,index,Avail,Player,AB,R,H,HR,RBI,BB,K,SB,CS,BA,OBP,SLG,Rank,Team,Pos,Owner,top_50,top_100,top_276,above_276,Start,IP,APP,GS,QS,CG,W,L,S,BS,HD,SO,BBa,Ha,ERA,WHIP,Sv+Hld,ER,C,1B,2B,3B,SS,MI,CI,OF,DH,SP,RP,P,type,zlgBA,zlgERA,zlgWHIP,zR,zHR,zRBI,zSB,zzlgBA,BIGAAh,zW,zSO,zSv+Hld,zzlgERA,zzlgWHIP,BIGAAp,z,all_pos
27,7,9 Gran...,JP Sears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,OAK,SP,9 Gran...,0.0,0.0,1.0,0.0,1.0,70.0,12.0,12.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,60.0,14.0,59.0,3.09,1.04,0.0,24.03333333333333,0,0,0,0,0,0,0,0,0,18,0,5.0,p,,24.036032388663955,8.356275303643727,,,,,,0.0,-1.0913260254134822,-0.2943660748799282,-0.5354723220071731,0.8202367359644627,1.3941090591135314,0.29318137277741063,0.29318137277741063,"['SP', 'P']"
28,8,9 Gran...,Kyle Gibson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,BAL,SP,9 Gran...,0.0,0.0,1.0,0.0,1.0,80.0,14.0,14.0,8.0,0.0,6.0,4.0,0.0,0.0,0.0,65.0,20.0,80.0,4.05,1.25,0.0,36.0,0,0,0,0,0,0,0,0,0,19,0,5.0,p,,-49.33024869866978,-7.021399652978602,,,,,,0.0,0.9079098866885273,-0.03560879938063674,-0.5354723220071731,-1.6834093715065566,-1.171406698341519,-2.517987304547358,-2.517987304547358,"['SP', 'P']"
29,9,9 Gran...,Aaron Civale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,CLE,SP,9 Gran...,0.0,0.0,0.0,1.0,0.0,75.0,14.0,14.0,6.0,0.0,4.0,4.0,0.0,0.0,0.0,64.0,19.0,69.0,3.6,1.17,0.0,30.0,0,0,0,0,0,0,0,0,0,9,0,5.0,p,,-12.497108155002934,-0.8325621746674443,,,,,,0.0,-0.0917080693624774,-0.08736025448049503,-0.5354723220071731,-0.4264675232709747,-0.13889950101010115,-1.2799076701312213,-1.2799076701312213,"['SP', 'P']"
30,10,9 Gran...,Kenley Jansen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,BOS,RP,9 Gran...,0.0,0.0,0.0,1.0,0.0,27.0,29.0,0.0,0.0,0.0,1.0,1.0,14.0,2.0,1.0,37.0,12.0,23.0,3.33,1.3,15.0,9.99,0,0,0,0,0,0,0,0,0,0,32,5.0,p,,2.79104106419895,-3.6197223828802763,,,,,,0.0,-1.5911350034389846,-1.4846495421766688,1.7385465000232894,0.0952451043259971,-0.6038919951870174,-1.8458849364533845,-1.8458849364533845,"['RP', 'P']"
31,11,9 Gran...,Dean Kremer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,BAL,SP,9 Gran...,0.0,0.0,0.0,1.0,0.0,77.0,14.0,14.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,64.0,23.0,79.0,4.21,1.32,0.0,36.01888888888889,0,0,0,0,0,0,0,0,0,18,0,5.0,p,,-59.80036437246969,-12.508097165991899,,,,,,0.0,0.408100908663025,-0.08736025448049503,-0.5354723220071731,-2.0407051750143896,-2.086773225838785,-4.342210068677818,-4.342210068677818,"['SP', 'P']"
32,12,9 Gran...,Cole Hamels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,SD,SP,9 Gran...,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5.0,p,,-0.0,-0.0,,,,,,0.0,-2.090943981464487,-3.399453380871426,-0.5354723220071731,7.719152415980665e-16,1.3050554406239892e-16,-6.025869684343085,-6.025869684343085,['P']
33,0,Brewbi...,Freddie Freeman,264.0,52.0,87.0,11.0,44.0,32.0,48.0,7.0,1.0,0.33,0.407,0.542,2.0,LAD,1B,Brewbirds,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,89,0,0,0,0,89,0,5,0,0,0.0,h,14.463439449516713,,,2.572385493443074,0.44946354665892674,1.3576951088573663,0.42798673407346155,3.0145338032731996,7.822064686306028,,,,,,0.0,7.822064686306028,"['1B', 'CI', 'DH']"
34,1,Brewbi...,Juan Soto,228.0,47.0,68.0,14.0,40.0,71.0,48.0,4.0,2.0,0.298,0.465,0.557,20.0,SD,RF,Brewbirds,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,89,5,0,0,0.0,h,5.354788615491714,,,1.8521516491888006,1.3396120550810977,0.8259443014485718,-0.21589835249996583,1.1160686465432434,4.917878299761748,,,,,,0.0,4.917878299761748,"['OF', 'DH']"
35,2,Brewbi...,Christopher Morel,217.0,42.0,60.0,13.0,39.0,19.0,67.0,4.0,2.0,0.277,0.338,0.53,35.0,CHC,CF,Brewbirds,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,4,0,10,4,24,5,0,0,0.0,h,0.3771453050951834,,,1.131917804934527,1.0428958856070407,0.6930065995963731,-0.21589835249996583,0.0786062869017792,2.7305282245397544,,,,,,0.0,2.7305282245397544,"['2B', 'OF', 'MI', 'DH']"
36,3,Brewbi...,Sean Murphy,190.0,34.0,59.0,13.0,41.0,21.0,48.0,0.0,0.0,0.31,0.392,0.595,47.0,ATL,C,Brewbirds,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0,0,0,0,0,0,0,5,0,0,0.0,h,6.795657179576423,,,-0.020456345872310575,1.0428958856070407,0.9588820033007704,-1.0744118012645356,1.4163808238554116,2.3232905656263765,,,,,,0.0,2.3232905656263765,"['C', 'DH']"
