Player,C,1B,2B,3B,SS,MI,CI,OF,DH,SP,RP
Pete Alonso,0,65,0,0,0,0,65,0,3,0,0
Pablo Lopez,0,0,0,0,0,0,0,0,0,16,0
Keibert Ruiz,62,0,0,0,0,0,0,0,1,0,0
Bobby Miller,0,0,0,0,0,0,0,0,0,6,0
Daulton Varsho,0,0,0,0,0,0,0,77,1,0,0
Nolan Gorman,0,0,33,9,0,33,9,0,26,0,0
Robert Suarez,0,0,0,0,0,0,0,0,0,0,0
Wander Franco,0,0,0,0,73,73,0,0,1,0,0
Mike Soroka,0,0,0,0,0,0,0,0,0,2,0
Patrick Sandoval,0,0,0,0,0,0,0,0,0,14,0
Jared Walsh,0,27,0,0,0,0,27,0,0,0,0
J.T. Realmuto,69,0,0,0,0,0,0,0,0,0,0
David Bednar,0,0,0,0,0,0,0,0,0,0,30
Taylor Ward,0,1,0,0,0,0,1,70,0,0,0
Masyn Winn,0,0,0,0,0,0,0,0,0,0,0
Gregory Soto,0,0,0,0,0,0,0,0,0,0,34
Ryan Helsley,0,0,0,0,0,0,0,0,0,0,22
Austin Hays,0,0,0,0,0,0,0,70,1,0,0
Jesus Luzardo,0,0,0,0,0,0,0,0,0,16,0
Martin Perez,0,0,0,0,0,0,0,0,0,15,0
Josh Bell,0,23,0,0,0,0,23,0,46,0,0
Jeff McNeil,0,0,63,0,1,64,0,24,0,0,0
Brandon Drury,0,36,55,0,0,55,36,0,0,0,0
Anthony Rizzo,0,68,0,0,0,0,68,0,4,0,0
Akil Baddoo,0,0,0,0,0,0,0,50,2,0,0
Kevin Gausman,0,0,0,0,0,0,0,0,0,16,0
Joe Musgrove,0,0,0,0,0,0,0,0,0,11,0
Mitch Keller,0,0,0,0,0,0,0,0,0,16,0
Thairo Estrada,0,0,48,0,18,64,0,3,2,0,0
Bryan De La Cruz,0,0,0,0,0,0,0,75,1,0,0
Starling Marte,0,0,0,0,0,0,0,71,0,0,0
Emmanuel Clase,0,0,0,0,0,0,0,0,0,0,38
Tim Anderson,0,0,2,0,51,53,0,0,0,0,0
Nolan Arenado,0,0,0,66,0,0,66,0,7,0,0
Andrew Abbott,0,0,0,0,0,0,0,0,0,4,0
Marcell Ozuna,0,0,0,0,0,0,0,2,59,0,0
Triston Casas,0,65,0,0,0,0,65,0,2,0,0
Jose Abreu,0,69,0,0,0,0,69,0,5,0,0
Andrew McCutchen,0,0,0,0,0,0,0,8,55,0,0
Brian Anderson,0,0,0,50,0,0,50,38,4,0,0
George Kirby,0,0,0,0,0,0,0,0,0,15,0
Reid Detmers,0,0,0,0,0,0,0,0,0,13,0
Jonathan India,0,0,66,0,0,66,0,0,12,0,0
Amed Rosario,0,0,0,0,65,65,0,0,2,0,0
Nick Lodolo,0,0,0,0,0,0,0,0,0,7,0
Eury Perez,0,0,0,0,0,0,0,0,0,9,0
Julio Rodriguez,0,0,0,0,0,0,0,71,3,0,0
Anthony Volpe,0,0,0,0,76,76,0,0,0,0,0
Emmet Sheehan,0,0,0,0,0,0,0,0,0,2,0
Fernando Tatis,0,0,0,0,0,0,0,58,0,0,0
Tarik Skubal,0,0,0,0,0,0,0,0,0,0,0
Nestor Cortes,0,0,0,0,0,0,0,0,0,11,0
Corbin Carroll,0,0,0,0,0,0,0,76,3,0,0
Reese Olson,0,0,0,0,0,0,0,0,0,4,1
Christian Encarnacion-Strand,0,0,0,0,0,0,0,0,0,0,0
Tanner Bibee,0,0,0,0,0,0,0,0,0,11,0
William Contreras,50,0,0,0,0,0,0,0,9,0,0
Kyle Schwarber,0,0,0,0,0,0,0,57,20,0,0
Jon Gray,0,0,0,0,0,0,0,0,0,14,0
Rafael Devers,0,0,0,74,0,0,74,0,1,0,0
James Outman,0,0,0,0,0,0,0,72,1,0,0
Edward Cabrera,0,0,0,0,0,0,0,0,0,14,0
Tony Gonsolin,0,0,0,0,0,0,0,0,0,11,0
Will Smith,0,0,0,0,0,0,0,0,0,0,29
Dustin May,0,0,0,0,0,0,0,0,0,9,0
Alex Lange,0,0,0,0,0,0,0,0,0,0,33
Jazz Chisholm,0,0,0,0,0,0,0,39,0,0,0
Yusei Kikuchi,0,0,0,0,0,0,0,0,0,16,0
Logan Gilbert,0,0,0,0,0,0,0,0,0,15,0
Brendan Donovan,0,12,32,6,1,33,18,29,0,0,0
Eloy Jimenez,0,0,0,0,0,0,0,10,36,0,0
Lars Nootbaar,0,0,0,0,0,0,0,47,0,0,0
Adam Duvall,0,0,0,0,0,0,0,21,2,0,0
Luis Matos,0,0,0,0,0,0,0,11,0,0,0
Alex Wood,0,0,0,0,0,0,0,0,0,9,1
Rowdy Tellez,0,57,0,0,0,0,57,0,10,0,0
Gunnar Henderson,0,0,0,50,15,15,50,0,7,0,0
Danny Jansen,39,0,0,0,0,0,0,0,6,0,0
Michael Kopech,0,0,0,0,0,0,0,0,0,15,0
Tommy Henry,0,0,0,0,0,0,0,0,0,11,1
Henry Davis,0,0,0,0,0,0,0,5,2,0,0
DJ LeMahieu,0,11,5,45,0,5,56,0,3,0,0
Jurickson Profar,0,0,0,0,0,0,0,64,4,0,0
Paul Sewald,0,0,0,0,0,0,0,0,0,0,31
Casey Schmitt,0,0,7,14,23,30,14,0,0,0,0
Zach Eflin,0,0,0,0,0,0,0,0,0,14,0
Teoscar Hernandez,0,0,0,0,0,0,0,66,12,0,0
Kyle Lewis,0,0,0,0,0,0,0,1,4,0,0
Hayden Wesneski,0,0,0,0,0,0,0,0,0,10,3
Gerrit Cole,0,0,0,0,0,0,0,0,0,17,0
Jose Leclerc,0,0,0,0,0,0,0,0,0,0,24
Jesse Winker,0,0,0,0,0,0,0,6,38,0,0
Triston McKenzie,0,0,0,0,0,0,0,0,0,2,0
C.J. Abrams,0,0,0,0,70,70,0,0,0,0,0
Hunter Renfroe,0,2,0,0,0,0,2,69,0,0,0
Byron Buxton,0,0,0,0,0,0,0,0,58,0,0
Brusdar Graterol,0,0,0,0,0,0,0,0,0,1,34
Jasson Dominguez,0,0,0,0,0,0,0,0,0,0,0
Matt Olson,0,77,0,0,0,0,77,0,0,0,0
Francisco Lindor,0,0,0,0,75,75,0,0,1,0,0
Jarren Duran,0,0,0,0,0,0,0,59,1,0,0
Hunter Brown,0,0,0,0,0,0,0,0,0,15,0
Alex Verdugo,0,0,0,0,0,0,0,70,0,0,0
Charlie Morton,0,0,0,0,0,0,0,0,0,15,0
Yu Darvish,0,0,0,0,0,0,0,0,0,14,0
Max Muncy,0,0,0,58,0,0,58,0,2,0,0
Alex Bregman,0,0,0,76,0,0,76,0,1,0,0
Ryan McMahon,0,0,21,60,0,21,60,0,0,0,0
Adley Rutschman,58,0,0,0,0,0,0,0,17,0,0
Lucas Giolito,0,0,0,0,0,0,0,0,0,16,0
Justin Steele,0,0,0,0,0,0,0,0,0,14,0
Taylor Rogers,0,0,0,0,0,0,0,0,0,0,31
Kyle Tucker,0,0,0,0,0,0,0,74,2,0,0
Brett Baty,0,0,0,50,0,0,50,1,1,0,0
Cristian Javier,0,0,0,0,0,0,0,0,0,15,0
Corey Seager,0,0,0,0,40,40,0,0,6,0,0
Jake Burger,0,3,1,31,0,1,34,0,24,0,0
Mason Miller,0,0,0,0,0,0,0,0,0,4,0
Jordan Montgomery,0,0,0,0,0,0,0,0,0,15,0
Jorge Soler,0,0,0,0,0,0,0,18,54,0,0
TJ Friedl,0,0,0,0,0,0,0,55,0,0,0
Jason Adam,0,0,0,0,0,0,0,0,0,0,35
Josh Naylor,0,49,0,0,0,0,49,1,18,0,0
Matt Strahm,0,0,0,0,0,0,0,0,0,9,13
Ji-Hwan Bae,0,0,41,0,3,44,0,43,0,0,0
Erik Swanson,0,0,0,0,0,0,0,0,0,0,36
Tanner Scott,0,0,0,0,0,0,0,0,0,0,37
Jose Altuve,0,0,25,0,0,25,0,0,0,0,0
Scott McGough,0,0,0,0,0,0,0,0,0,0,36
Grayson Rodriguez,0,0,0,0,0,0,0,0,0,10,0
Nick Pratto,0,37,0,0,0,0,37,20,0,0,0
Xander Bogaerts,0,0,0,0,69,69,0,0,3,0,0
Shane McClanahan,0,0,0,0,0,0,0,0,0,16,0
Joey Meneses,0,4,0,0,0,0,4,1,67,0,0
Trent Grisham,0,0,0,0,0,0,0,74,0,0,0
Julio Urias,0,0,0,0,0,0,0,0,0,10,0
Bailey Ober,0,0,0,0,0,0,0,0,0,12,0
Luke Raley,0,22,0,0,0,0,22,30,7,0,0
Luis Arraez,0,2,71,0,0,71,2,0,1,0,0
Miguel Castro,0,0,0,0,0,0,0,0,0,0,34
Manuel Margot,0,0,0,0,0,0,0,61,0,0,0
Zack Wheeler,0,0,0,0,0,0,0,0,0,16,0
Vladimir Guerrero,0,59,0,0,0,0,59,0,17,0,0
Andrew Heaney,0,0,0,0,0,0,0,0,0,14,0
Seth Lugo,0,0,0,0,0,0,0,0,0,10,0
Aaron Judge,0,0,0,0,0,0,0,43,11,0,0
Jose Trevino,43,0,0,0,0,0,0,0,0,0,0
Drew Smyly,0,0,0,0,0,0,0,0,0,15,0
Matthew Boyd,0,0,0,0,0,0,0,0,0,14,0
Carlos Rodon,0,0,0,0,0,0,0,0,0,0,0
Jeremy Pena,0,0,0,0,73,73,0,0,0,0,0
Nick Senzel,0,0,5,38,0,5,38,26,0,0,0
Willson Contreras,54,0,0,0,0,0,0,0,17,0,0
Kyle Freeland,0,0,0,0,0,0,0,0,0,16,0
Rich Hill,0,0,0,0,0,0,0,0,0,15,0
Joc Pederson,0,1,0,0,0,0,1,1,41,0,0
Charlie Blackmon,0,0,0,0,0,0,0,12,41,0,0
Jorge Mateo,0,0,0,0,67,67,0,0,1,0,0
J.P. Crawford,0,0,0,0,69,69,0,0,0,0,0
Joshua Lowe,0,0,0,0,0,0,0,53,12,0,0
Jordan Romano,0,0,0,0,0,0,0,0,0,0,34
Brandon Lowe,0,0,47,0,0,47,0,0,3,0,0
Hector Neris,0,0,0,0,0,0,0,0,0,0,34
Bryce Harper,0,0,0,0,0,0,0,0,45,0,0
