last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Yelich, Christian,592885,441,5,36.7,113.6,92.6,97.2,89.6,441,162,407,224,20.1,50.8,57,12.9,8.8
Cave, Jake,595909,186,10.5,41.4,111.4,89.2,93.7,83.9,443,189,419,71,11.6,38.2,27,14.5,8.7
Báez, Javier,595879,444,9.6,33.1,113.7,90.6,96.8,86.6,481,177,404,191,14.7,43.0,56,12.6,8.7
Alvarez, Pedro,476883,75,12.2,26.7,115.9,90.6,98.2,84.1,437,185,402,33,14.9,44.0,11,14.7,8.7
Judge, Aaron,592450,266,12.4,35.7,119.9,94.7,97.7,92.1,471,184,397,144,16.8,54.1,43,16.2,8.6
Thames, Eric,519346,150,19.3,35.3,110.8,90.9,94.9,85.5,416,208,396,65,12.2,43.3,24,16.0,8.6
Austin, Tyler,592122,152,15,38.2,112.9,88.9,95.8,80.5,451,190,402,67,11.8,44.1,23,15.1,8.6
Sánchez, Gary,596142,231,14.2,29.4,121.1,90.3,97.7,85.9,460,173,412,96,14.3,41.6,32,13.9,8.6
Palka, Daniel,594953,264,11.6,28.0,118.4,92.6,97.4,90.7,448,174,410,129,14.3,48.9,38,14.4,8.5
Machado, Manny,592518,533,14.4,33.8,114.8,91.6,95.1,90.1,444,185,403,258,20.9,48.4,60,11.3,8.5
Acuña Jr., Ronald,660670,313,13.1,33.9,113.9,90.9,95.2,87.3,452,183,410,145,15.9,46.3,41,13.1,8.4
Upton, Justin,457708,363,11.9,34.7,114.9,90.9,96.8,86.1,443,186,403,172,16.0,47.4,51,14.0,8.3
Morales, Kendrys,434778,323,10,34.4,111.6,92.3,95.3,90.3,437,181,395,170,20.5,52.6,39,12.1,8.3
Carpenter, Matt,572761,410,21.6,44.4,109.4,90.7,94.4,84.3,432,235,389,183,17.3,44.6,56,13.7,8.3
Story, Trevor,596115,434,15.9,38.5,112.5,91,95,87.4,487,202,421,200,15.6,46.1,54,12.4,8.2
Tellez, Rowdy,642133,50,10.6,46.0,109.3,88.7,96.4,80.6,423,192,398,20,15.4,40.0,6,12.0,8.2
Renfroe, Hunter,592669,299,18.4,29.1,113.7,89.9,97.5,85.2,438,184,402,130,16.2,43.5,36,12.0,8.2
Goldschmidt, Paul,502671,420,15.7,37.1,112.9,90.8,95.9,87,450,192,400,186,15.1,44.3,56,13.3,8.1
Perez, Salvador,521692,407,18,35.4,112.1,91.4,94.3,89.3,454,205,398,193,17.6,47.4,44,10.8,8.1
Moreland, Mitch,519048,307,11.5,34.2,114.3,91,95.3,86.7,443,186,417,137,16.8,44.6,37,12.1,8.1
Mancini, Trey,641820,434,5.4,27.9,115,89.9,95,87,438,148,387,186,14.9,42.9,50,11.5,7.9
Braun, Ryan,460075,323,6.4,36.2,116.3,92.3,97.4,88.1,443,170,401,160,19.7,49.5,35,10.8,7.8
Castellanos, Nick,592206,472,15.2,45.3,110.3,89.6,93.6,84.9,424,199,384,192,14.3,40.7,53,11.2,7.8
García, Avisaíl,541645,259,9.6,26.6,116.7,90.3,95.8,86.8,481,164,400,112,13.5,43.2,30,11.6,7.8
Olson, Matt,621566,419,18.1,35.3,113.3,93.3,97.5,90.7,475,191,408,219,17.4,52.3,51,12.2,7.7
Cron, C.J.,543068,361,15.2,34.6,114.4,88,93.9,85.4,464,183,408,132,12.0,36.6,43,11.9,7.7
Puig, Yasiel,624577,320,12.1,33.8,115.3,89.5,93.7,87.5,463,179,413,130,15.8,40.6,34,10.6,7.7
O'Hearn, Ryan,656811,104,17.7,33.7,108.3,91.4,95.6,86.8,431,198,392,46,15.8,44.2,13,12.5,7.6
Higashioka, Kyle,543309,56,28,30.4,109.2,88.4,92,85.2,401,219,377,17,13.7,30.4,6,10.7,7.6
Pearce, Steve,456665,176,11.8,35.2,109,89.3,94.7,85,438,176,392,69,15.3,39.2,19,10.8,7.6
Walker, Christian,572233,27,18.7,44.4,114.4,86.2,95.7,80.2,479,198,450,8,6.2,29.6,4,14.8,7.5
Rendon, Anthony,543685,455,17.9,39.8,109.9,90.7,93.7,89,430,202,395,204,18.1,44.8,45,9.9,7.5
