last_name, first_name,player_id,year,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Candelario, Jeimer,600869,2020,136,13.3,37.5,110.8,90.2,94.8,85.8,437,175,406,64,16.9,47.1,14,10.3,6.8
Bruce, Jay,457803,2020,72,15.3,31.9,109.2,89,92.3,85.5,447,186,407,28,12.7,38.9,7,9.7,6.8
Cooper, Garrett,643265,2020,89,9.5,39.3,109.7,90.1,92.5,87.4,455,173,419,37,16.4,41.6,9,10.1,6.8
Grisham, Trent,663757,2020,153,13.5,37.9,111.9,88.3,93.7,84.7,457,169,413,64,16.1,41.8,17,11.1,6.7
Piña, Manny,444489,2020,28,26.1,46.4,105.7,88.5,91.1,91.2,403,223,399,10,13.2,35.7,3,10.7,6.7
Yastrzemski, Mike,573262,2020,137,18.4,35,105.6,88.2,93.2,83.6,403,185,387,58,15.8,42.3,15,10.9,6.7
Dietrich, Derek,518618,2020,40,12.6,47.5,107.3,85.4,94.1,75.9,401,176,386,14,9.7,35,5,12.5,6.7
Lewis, Kyle,641786,2020,137,11.1,37.2,110.9,88.3,92.6,83.2,438,176,405,48,11.3,35,16,11.7,6.6
Guerrero Jr., Vladimir,665489,2020,183,4.6,29.5,116.1,92.5,94.6,91.7,415,143,396,93,21.4,50.8,16,8.7,6.6
Bellinger, Cody,641355,2020,171,16.6,29.2,110.6,89.3,93.5,86.9,438,184,394,71,15.4,41.5,16,9.4,6.6
Tucker, Kyle,663656,2020,164,14.9,34.1,110.9,91.1,94.9,86.4,432,187,391,73,16.8,44.5,15,9.1,6.6
Pinder, Chad,640461,2020,43,13.7,18.6,114.6,92.3,96.8,88.4,422,157,417,19,16.5,44.2,4,9.3,6.6
Pederson, Joc,592626,2020,87,12.5,26.4,112.1,93,98.1,90.4,435,162,411,39,15.1,44.8,9,10.3,6.5
Cabrera, Miguel,408234,2020,155,12.1,36.8,112.2,93.2,95.6,91.2,450,171,395,77,17.7,49.7,15,9.7,6.5
Jones, JaCoby,592444,2020,64,11,35.9,112.4,89.5,93.5,85.9,430,160,376,29,15.5,45.3,7,10.9,6.5
Renfroe, Hunter,592669,2020,86,17.5,23.3,111.9,89.6,96.5,85.7,445,169,405,34,14.3,39.5,9,10.5,6.5
Perez, Michael,605421,2020,58,14.5,48.3,106.5,87.3,91.5,81.4,428,190,428,19,11.2,32.8,6,10.3,6.5
Chisholm Jr., Jazz,665862,2020,37,15.6,27,106.2,87.1,92.9,80.3,406,184,405,11,10.9,29.7,4,10.8,6.5
Albies, Ozzie,645277,2020,88,17.8,35.2,106.5,86.7,91.2,84.5,424,176,409,25,9.7,28.4,8,9.1,6.5
Kingery, Scott,664068,2020,79,16.9,30.4,105.8,85.3,92.1,78.2,403,170,388,25,10.4,31.6,8,10.1,6.5
Castro, Willi,650489,2020,94,11.3,38.3,109.6,85.3,89.1,82.4,445,174,398,30,10.3,31.9,9,9.6,6.4
Bader, Harrison,664056,2020,67,15.7,35.8,107.9,86,94.4,79.2,425,171,413,24,11,35.8,8,11.9,6.4
Naquin, Tyler,571980,2020,95,13,34.7,110.3,91.7,95,89.5,425,172,387,49,16.4,51.6,9,9.5,6.4
Hayes, Ke'Bryan,663647,2020,65,7.4,35.4,110.3,92.8,95.5,92,429,168,410,36,21.1,55.4,6,9.2,6.3
Tellez, Rowdy,642133,2020,95,10.6,30.5,117.4,90.7,95.9,88.1,459,162,409,43,19.5,45.3,8,8.4,6.3
Choo, Shin-Soo,425783,2020,79,11.4,38,111.2,90,95.1,86.1,405,165,397,28,13.5,35.4,8,10.1,6.3
Ohtani, Shohei,660271,2020,103,9.2,32,111.9,89.1,94.1,84.3,439,154,402,44,13.3,42.7,11,10.7,6.3
Schwarber, Kyle,656941,2020,125,8.8,28.8,114.9,92.8,95.7,90.7,444,165,406,59,14.5,47.2,14,11.2,6.3
Tromp, Chadwick,644433,2020,43,10.1,25.6,107.6,90.1,93.5,88.4,445,163,410,16,12.5,37.2,4,9.3,6.3
Wallach, Chad,595453,2020,33,11.3,27.3,105.5,87.6,93.2,83.5,413,153,413,9,10.2,27.3,3,9.1,6.3
Reynolds, Bryan,668804,2020,128,10.2,35.2,110.7,87.5,91.8,82.6,436,171,410,49,12.2,38.3,13,10.2,6.3
Contreras, Willson,575929,2020,134,9.1,35.8,114.1,89.8,95.4,85.9,451,160,410,64,15.4,47.8,14,10.4,6.2
Bogaerts, Xander,593428,2020,163,8.7,31.3,112.5,89,94.9,83.6,440,171,407,60,14.2,36.8,14,8.6,6.2
McMahon, Ryan,641857,2020,107,9.2,27.1,109.7,90.1,95.5,85.7,451,169,419,46,11.6,43,12,11.2,6.2
Crawford, Brandon,543063,2020,127,12.4,35.4,109.8,88.7,93.6,84.3,425,172,402,50,12.5,39.4,12,9.4,6.2
Bote, David,623520,2020,86,9.3,25.6,110.3,92.4,95.8,91,455,151,414,45,19.2,52.3,9,10.5,6.2
Moustakas, Mike,519058,2020,105,16.3,36.2,111.7,88.8,93,84.4,421,201,391,42,13.3,40,10,9.5,6.1
Goodwin, Brian,571718,2020,92,20.7,41.3,109.6,89.9,93.8,85,411,199,392,38,14,41.3,10,10.9,6.1
Yelich, Christian,592885,2020,124,7.1,32.3,112,94,97.1,91.5,460,165,405,69,18.1,55.6,15,12.1,6.1
Happ, Ian,664023,2020,136,9,37.5,109.1,91.1,94.5,87.9,434,171,387,66,16.1,48.5,14,10.3,6.1
Canó, Robinson,429664,2020,148,6.2,31.8,113.5,90.4,94.7,89.1,441,146,400,69,19.8,46.6,11,7.4,6
Valaika, Pat,642162,2020,108,18.2,38.9,108.2,88.7,91.9,86.2,405,196,388,37,12.9,34.3,9,8.3,6
Ruf, Darin,573131,2020,64,12.5,34.4,111.7,89.4,93.3,87.8,453,173,410,28,16.1,43.8,6,9.4,6
Adams, Matt,571431,2020,31,21.4,32.3,108.6,90.1,95.2,86.1,432,192,393,14,12.6,45.2,3,9.7,5.9
Ruiz, Rio,547004,2020,141,10.5,27.7,109,87.9,94.2,83.1,405,161,379,55,13.4,39,12,8.5,5.9
Carlson, Dylan,666185,2020,76,9.3,40.8,108.3,87.4,96.6,77.8,413,170,400,32,15.9,42.1,7,9.2,5.9
Votto, Joey,458015,2020,143,15.4,36.4,113.2,87.4,92.6,80.5,442,191,396,51,15.3,35.7,13,9.1,5.8
McCutchen, Andrew,457705,2020,170,18.2,36.5,109.9,89.7,93.2,86.3,422,189,391,70,17.7,41.2,14,8.2,5.8
France, Ty,664034,2020,104,14.8,44.2,108.2,85.7,91.5,81.1,446,178,425,31,11,29.8,9,8.7,5.8
Story, Trevor,596115,2020,172,20.8,40.1,109,89.9,94,86.4,449,206,414,71,15,41.3,15,8.7,5.8
Sisco, Chance,642082,2020,57,20,45.6,104.4,88.8,91.8,85.3,398,203,387,21,9.1,36.8,7,12.3,5.8
Betts, Mookie,605141,2020,182,18.5,40.1,108.5,90.7,92.6,88.7,416,202,396,79,21,43.4,14,7.7,5.7
Anderson, Brian,605119,2020,135,9.6,34.8,109.5,87.4,93.4,82.2,446,166,391,53,12.2,39.3,13,9.6,5.7
Arroyo, Christian,624414,2020,39,7.8,23.1,107.5,89.9,93.8,87.2,418,156,399,16,15.8,41,3,7.7,5.6
Greiner, Grayson,606988,2020,31,25.1,22.6,112.1,90,95.4,82.2,418,192,390,13,12.5,41.9,3,9.7,5.5
Jansen, Danny,643376,2020,93,16.3,36.6,109.3,85.1,90.5,78,427,188,409,33,13,35.5,8,8.6,5.4
Nola, Austin,543592,2020,129,12.5,40.3,110.1,89.7,92.3,88.8,424,176,396,56,19,43.4,10,7.8,5.4
Upton, Justin,457708,2020,105,18.6,25.7,111.5,91.7,96.4,88.9,430,180,392,46,15.4,43.8,9,8.6,5.4
McCann, James,543510,2020,69,15,40.6,108.5,90.5,94.7,86.6,443,187,403,33,15.6,47.8,6,8.7,5.4
Hernández, Enrique,571771,2020,109,16.2,26.6,110.2,88.5,93.2,86.7,414,166,381,47,17,43.1,8,7.3,5.4
Laureano, Ramón,657656,2020,128,12.3,34.4,111.3,87.7,93.7,84.1,441,170,401,44,12.2,34.4,12,9.4,5.4
Tsutsugo, Yoshi,660294,2020,108,17.2,25,108.9,90.2,95.2,88.4,437,172,395,51,15.2,47.2,10,9.3,5.4
Bell, Josh,605137,2020,140,5.9,24.3,114.2,91.7,95.4,90.1,428,135,405,60,15.3,42.9,12,8.6,5.4
Adames, Willy,642715,2020,111,12.5,36.9,109.1,88.8,96.1,83.4,426,163,395,45,11.8,40.5,11,9.9,5.4
Brinson, Lewis,621446,2020,76,7.9,27.6,112.2,88.1,93.4,84.8,431,147,416,28,12.5,36.8,6,7.9,5.4
Pence, Hunter,452254,2020,37,4.2,32.4,108,87.6,93.9,84.7,406,136,372,17,16,45.9,3,8.1,5.4
Rizzo, Anthony,519203,2020,167,16.7,34.7,114.5,87.7,93,85.4,430,175,386,58,13.9,34.7,13,7.8,5.3
Carpenter, Matt,572761,2020,92,17.1,44.6,106.2,88.1,93.1,79.8,439,205,404,33,11.5,35.9,9,9.8,5.3
Hilliard, Sam,656541,2020,63,10.8,20.6,111,88.3,92,88.6,431,147,398,28,12.2,44.4,6,9.5,5.3
Davis, J.D.,605204,2020,135,3.3,29.6,111.2,90.1,96.1,87.4,426,141,388,61,14.3,45.2,12,8.9,5.2
Kipnis, Jason,543401,2020,75,18.2,28,107,86.2,90.9,84.9,426,186,422,23,9.8,30.7,7,9.3,5.2
Urshela, Gio,570482,2020,130,12.3,38.5,111,91.4,93.6,89.9,412,180,383,53,17.4,40.8,9,6.9,5.2
Ramos, Wilson,467092,2020,112,6.5,26.8,110.1,89,94.6,86.6,440,148,409,47,16.2,42,8,7.1,5.2
Vogelbach, Daniel,596129,2020,82,10.2,29.3,111.4,89.5,95.7,84.2,441,158,408,34,16.4,41.5,7,8.5,5.1
Báez, Javier,595879,2020,149,10.3,24.8,116,89.4,94.9,86.9,450,150,423,60,12.5,40.3,12,8.1,5.1
Brosseau, Mike,670712,2020,56,15.1,37.5,108.1,90.9,94.1,87,420,179,401,24,14.2,42.9,5,8.9,5.1
O'Neill, Tyler,641933,2020,97,15.1,23.7,107.4,88,95.4,79.8,438,175,404,38,13.4,39.2,8,8.2,5.1
Aguilar, Jesús,542583,2020,152,16,37.5,109.9,89.3,91.6,88,436,181,400,57,13.7,37.5,11,7.2,5.1
Phillips, Brett,621433,2020,36,13.7,44.4,106.4,84.9,90.1,79.4,422,190,400,8,7.6,22.2,3,8.3,5.1
Bradley Jr., Jackie,598265,2020,144,4.3,28.5,112.4,88.4,93.2,85,447,144,407,52,13.8,36.1,11,7.6,5.1
Severino, Pedro,600474,2020,121,9.5,36.4,111.2,87.6,91.5,85,414,166,403,38,11.2,31.4,9,7.4,5.1
Lamb, Jake,571875,2020,63,16.7,36.5,108.3,90.2,95.1,84.7,412,193,399,32,17,50.8,5,7.9,5.1
Davis, Khris,501981,2020,60,18.9,38.3,107.1,87.7,93.6,77.3,400,193,382,19,9,31.7,5,8.3,5.1
Goodrum, Niko,592348,2020,92,16,34.8,105.6,88.8,94.3,81.8,426,199,402,37,10.7,40.2,9,9.8,5
Mountcastle, Ryan,663624,2020,98,10.8,34.7,108.2,87.4,91.4,86.1,420,165,409,41,13.4,41.8,7,7.1,5
Shaw, Travis,543768,2020,114,19.8,34.2,112.8,90.9,93.7,89.8,448,199,399,51,15.4,44.7,9,7.9,5
Kendrick, Howie,435062,2020,76,7.3,39.5,109.6,88.8,92.9,85.1,414,157,405,30,15.5,39.5,5,6.6,5
Hampson, Garrett,641658,2020,111,14.4,39.6,105.6,86.3,89.1,82.8,428,202,410,26,7.9,23.4,9,8.1,4.9
Nimmo, Brandon,607043,2020,143,7.6,30.8,106.9,87.2,92.3,84.3,425,151,400,47,11.6,32.9,11,7.7,4.9
Heim, Jonah,641680,2020,35,14.9,25.7,103.1,86,90.8,87.1,384,145,,13,20.3,37.1,2,5.7,4.9
Ravelo, Rangel,592660,2020,31,11.7,32.3,103.7,84.8,90.3,81.4,362,146,362,10,12.5,32.3,2,6.5,4.9
Wieters, Matt,446308,2020,26,13.5,38.5,105.5,84.7,88.2,83.6,391,167,,6,7.2,23.1,2,7.7,4.9
Cervelli, Francisco,465041,2020,39,13.3,38.5,108.3,89,95.7,82.8,377,176,365,15,16.7,38.5,3,7.7,4.8
Dozier, Hunter,641531,2020,110,17,26.4,110.3,86.4,89.4,86.5,442,172,406,34,11.2,30.9,9,8.2,4.8
Hedges, Austin,595978,2020,52,18.6,26.9,108.8,90.2,94.7,88.6,404,173,396,20,14.9,38.5,4,7.7,4.8
Pham, Tommy,502054,2020,82,2.4,22,111.1,92.8,95.7,90.9,440,144,411,41,21.6,50,6,7.3,4.8
Marte, Starling,516782,2020,188,6.5,30.3,110.6,87.1,91.2,84.6,447,148,411,57,11.6,30.3,12,6.4,4.8
Ford, Mike,645801,2020,59,8.4,30.5,109.2,89.7,94,87.6,437,157,429,23,17.2,39,4,6.8,4.8
Rosario, Eddie,592696,2020,178,18.1,30.3,105,87.5,92,84,419,179,394,63,14.7,35.4,11,6.2,4.8
Santana, Danny,542454,2020,32,14.7,28.1,107.6,90.9,94.1,88.6,390,175,390,15,12,46.9,3,9.4,4.8
García, Leury,544725,2020,50,7.5,26,106.7,87.3,91.8,83.6,419,156,397,13,12,26,3,6,4.8
Murphy, John Ryan,571974,2020,31,7.3,38.7,105.6,83,94,73.6,395,159,,12,10,38.7,3,9.7,4.8
Mondesi, Adalberto,609275,2020,151,13.7,19.9,111,90.6,94.6,89.8,458,150,418,59,12.9,39.1,11,7.3,4.7
Mazara, Nomar,608577,2020,92,6.7,28.3,109.1,91,93.8,90.2,414,144,414,45,15.8,48.9,7,7.6,4.7
Cabrera, Asdrúbal,452678,2020,154,13.7,30.5,107,89.5,93.6,88,413,164,392,59,15.2,38.3,10,6.5,4.7
