Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,playerid
Michael Feliz,BOS,RP,999,38,-5.072020439,-1.235820729,-3.067051193,-1.853705243,-5.895027449,-17.12362505,7.505149695,-8.618475359,11903
Daniel Lynch,KCR,SP,467.9500122,70,-3.484257519,-1.782823347,-4.13111714,-4.051440451,-4.970988313,-18.42062677,8.787425154,-8.633201615,21537
Alexander Wells,BAL,SP/RP,999,45,-5.072020439,-1.782823347,-3.706481073,-1.721174397,-6.166803665,-18.44930292,8.787425154,-8.661877767,19845
Matt Peacock,ARI,RP,999,36,-5.072020439,-1.782823347,-1.267798617,-2.506056789,-6.547290368,-17.17598956,7.505149695,-8.670839865,20339
Joel Payamps,KCR,RP,999,52,-5.072020439,-1.782823347,-2.648524711,-2.126318442,-5.568895989,-17.19858293,7.505149695,-8.693433233,14332
Albert Abreu,NYY,RP,999,42,-5.072020439,-1.782823347,-2.139193036,-2.699701716,-5.514540746,-17.20827928,7.505149695,-8.703129589,17485
Jake Woodford,STL,SP/RP,597.8599854,58,-4.278138979,-1.782823347,-3.51991913,-3.395313152,-5.514540746,-18.49073535,8.787425154,-8.703310199,18674
Ervin Santana,,RP,999,40,-5.072020439,-1.782823347,-2.603122115,-1.739028589,-6.058093178,-17.25508767,7.505149695,-8.749937973,3200
Chad Kuhl,,SP,999,93,-2.690376059,-1.782823347,-5.5854777,-5.421033377,-3.068554798,-18.54826528,8.787425154,-8.760840127,14975
Austin Davis,BOS,RP,999,48,-5.072020439,-1.782823347,-2.444792041,-2.624509197,-5.351475016,-17.27562004,7.505149695,-8.770470345,17117
Ryan Burr,CHW,RP,999,46,-5.072020439,-1.782823347,-2.342925706,-2.470348407,-5.623251232,-17.29136913,7.505149695,-8.786219436,17536
Cole Irvin,OAK,SP,517.3800049,165,0.48514978,-1.782823347,-10.38425659,-5.32523549,-1.60096323,-18.60812888,8.787425154,-8.820703721,19244
Mason Thompson,WSN,RP,999,48,-5.072020439,-1.782823347,-1.878996627,-3.162184089,-5.460185502,-17.35621,7.505149695,-8.851060309,21850
Kris Bubic,KCR,SP,450.0499878,124,-1.10261314,-1.782823347,-6.315712772,-7.407269466,-2.035805176,-18.6442239,8.787425154,-8.856798746,21455
Vince Velasquez,,SP,999,108,-1.896494599,-1.782823347,-7.763963747,-5.098633358,-2.144515663,-18.68643071,8.787425154,-8.89900556,11189
Ryne Harper,,RP,999,38,-5.072020439,-1.782823347,-2.50125578,-1.853705243,-6.221158908,-17.43096372,7.505149695,-8.925814022,12680
Blake Taylor,HOU,RP,999,58,-4.278138979,-1.782823347,-2.954123716,-3.395313152,-5.025343556,-17.43574275,7.505149695,-8.930593055,16418
Andre Jackson,LAD,RP,597.4299927,36,-5.072020439,-1.782823347,-2.399389444,-1.968381898,-6.221158908,-17.44377404,7.505149695,-8.938624342,21298
Robert Gsellman,,RP,999,39,-5.072020439,-1.782823347,-2.26929124,-2.065204362,-6.275514151,-17.46485354,7.505149695,-8.959703844,13696
