last_name,first_name,playerid,player_id,year,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
LeMahieu, DJ,9874,518934,2021,508,5,33.3,110.6,90.6,92.9,89.2,403,142,375,220,20,43.3,19,3.7,2.8
Duffy, Matt,13836,622110,2021,227,7.5,40.5,107.7,87.5,89.3,86.8,390,151,381,79,14.7,34.8,9,4,2.8
Eaton, Adam,11205,594809,2021,188,8.3,29.3,107.4,86.6,89.6,85.2,426,142,389,64,11.8,34,8,4.3,2.8
Merrifield, Whit,11281,593160,2021,573,13.9,40,107.8,86.8,91.4,82.2,414,172,384,165,12.7,28.8,20,3.5,2.8
Sosa, Edmundo,#N/A,624641,2021,228,6,28.9,114.6,86.7,90.5,84.7,428,143,398,73,11.5,32,9,3.9,2.8
Iglesias, José,10231,578428,2021,409,11.3,35.5,110.2,85.4,88.9,83.1,417,157,396,117,11.5,28.6,14,3.4,2.7
Short, Zack,#N/A,670097,2021,103,24.3,33,108.2,87.5,92.3,81.6,405,198,380,34,10.2,33,5,4.9,2.7
Perdomo, Geraldo,#N/A,672695,2021,25,18.7,32,103.3,86.5,88,86.1,402,192,,7,14,28,1,4,2.7
Knizner, Andrew,19514,668800,2021,122,7.8,28.7,108,87.5,91.9,85.8,396,140,396,45,14.2,36.9,5,4.1,2.7
Duran, Jarren,sa3006786,680776,2021,68,7.8,38.2,108.2,89.6,93.6,87.2,357,153,356,27,12.2,39.7,3,4.4,2.7
Araúz, Jonathan,20275,660620,2021,52,17.3,23.1,104.1,85.9,88.9,88.1,416,146,401,16,12,30.8,2,3.8,2.7
Barnes, Austin,12158,605131,2021,145,13.5,29.7,109,85.2,88.4,83.5,412,161,394,46,11.7,31.7,6,4.1,2.7
Jackson, Alex,17276,656577,2021,58,20.7,32.8,114.3,89.6,92.4,87.5,411,178,403,24,7.5,41.4,4,6.9,2.6
Gurriel, Yuli,19198,493329,2021,474,13.4,31,109.1,89.8,91,91.3,413,163,384,199,20.3,42,16,3.4,2.6
Lux, Gavin,19955,666158,2021,254,11.3,34.6,109.7,89.8,92.6,88.7,421,155,397,102,15.2,40.2,10,3.9,2.6
González, Erik,13369,570481,2021,181,0.1,27.1,109.8,87,90.9,85.4,453,116,415,57,12.4,31.5,6,3.3,2.6
Vierling, Matt,#N/A,663837,2021,52,6.3,30.8,111.5,91.5,91.2,92.3,433,138,426,28,20.9,53.8,2,3.8,2.6
Pozo, Yohel,#N/A,650968,2021,64,14.6,35.9,107.9,87.7,91.9,88.2,396,166,396,24,16.3,37.5,2,3.1,2.6
Rivas, Webster,#N/A,593590,2021,53,10.2,26.4,106.3,86.6,87.6,86.1,393,124,390,17,12.9,32.1,2,3.8,2.6
Heredia, Guillermo,18721,628338,2021,225,12.5,35.6,109.7,86.6,92.1,82.1,433,165,402,78,11.9,34.7,9,4,2.6
Nimmo, Brandon,12927,607043,2021,248,8.8,34.3,111.5,89.3,91.4,88.8,423,152,397,102,15.6,41.1,10,4,2.6
Barnhart, Tucker,10200,571466,2021,251,15.5,37.1,106.7,87.1,91,83.4,412,174,392,78,10.2,31.1,10,4,2.6
Beaty, Matt,17710,607461,2021,160,12.3,26.9,109,86.7,89.1,86.3,443,151,385,49,12.1,30.6,6,3.8,2.6
Hedges, Austin,12976,595978,2021,209,18.9,27.8,110,85.7,88.8,84.9,419,170,384,63,10,30.1,8,3.8,2.6
Kiermaier, Kevin,11038,595281,2021,253,1.1,29.6,107.9,86.6,91.3,84.5,391,132,369,92,12,36.4,10,4,2.6
Díaz, Isan,17922,656371,2021,170,9.6,27.6,109,88.7,91.2,86.7,424,159,412,62,13.3,36.5,7,4.1,2.5
Frazier, Todd,785,453943,2021,29,12.7,17.2,110.5,87.5,93.8,85.2,412,137,,10,13.7,34.5,1,3.4,2.5
Adams, Matt,9393,571431,2021,27,10.5,29.6,102,82.2,91.7,74.3,402,149,,8,10.4,29.6,1,3.7,2.5
Long Jr., Shed,16542,643418,2021,73,1.7,24.7,110.2,87.6,93.6,84.7,423,126,398,26,11.3,35.6,3,4.1,2.5
Greiner, Grayson,17062,606988,2021,42,15.4,31,108.5,85.4,91.8,82.6,365,162,365,12,7.8,28.6,2,4.8,2.4
Crowe, Wil,#N/A,640444,2021,25,-2,24,110.7,84.7,97.3,78.6,372,104,,6,8.2,24,1,4,2.4
Gosselin, Phil,10953,594838,2021,265,11.5,30.2,110,87.6,90.5,85.8,430,162,396,93,14.3,35.1,9,3.4,2.4
Isbel, Kyle,#N/A,664728,2021,53,19,32.1,111,87.3,91.1,90.1,373,169,373,16,10.2,30.2,2,3.8,2.4
Kieboom, Carter,19958,666198,2021,157,7.4,28.7,107.1,85.3,90.1,82.7,423,152,410,57,13.1,36.3,6,3.8,2.4
Palacios, Josh,#N/A,641943,2021,26,8.4,26.9,104.4,93.5,94,93.1,392,151,,11,13.9,42.3,1,3.8,2.4
Giménez, Andrés,19950,665926,2021,138,9,23.2,110.2,86.3,90.2,83.8,411,149,394,42,9,30.4,5,3.6,2.4
Gutierrez, Kelvin,17468,642721,2021,196,2.3,27.6,114.4,89.9,94.1,88.7,426,124,389,88,16.9,44.9,7,3.6,2.4
Mercer, Jordy,6547,474568,2021,84,13.2,42.9,106.4,86.7,92.7,79.1,395,167,382,28,12.2,33.3,3,3.6,2.4
Castro, Harold,14691,605612,2021,252,10.2,44,107.2,88.6,91.5,85.2,447,170,403,97,14.4,38.5,8,3.2,2.4
García, Leury,5913,544725,2021,332,4.3,30.1,109.6,86.1,90.2,83.5,430,135,406,108,12.3,32.5,11,3.3,2.3
Reyes, Pablo,16357,622569,2021,63,15,28.6,107.5,87.1,91.7,84.8,385,158,385,23,15.9,36.5,2,3.2,2.3
Escobar, Alcides,6310,444876,2021,267,11.1,36.3,105.7,81.7,85.9,77.8,410,151,400,56,7.9,21,8,3,2.3
Tom, Ka'ai,#N/A,664789,2021,75,9.5,32,109.1,84.2,91.7,79.9,411,151,397,22,8.8,29.3,3,4,2.3
Arcia, Orlando,13185,606115,2021,63,8.9,27,108.4,88.2,90.7,89,430,133,395,24,13.2,38.1,2,3.2,2.2
Inciarte, Ender,4922,542255,2021,60,12.9,31.7,104.3,84.2,87.9,82.6,383,142,380,9,5.2,15,2,3.3,2.2
Schrock, Max,sa658670,621011,2021,102,18.5,40.2,107.4,85,88.2,83.1,393,189,383,25,8.7,24.5,3,2.9,2.2
Rojas, Miguel,7802,500743,2021,423,11.5,32.4,109.4,86.2,89,86.4,409,154,398,139,15.2,32.9,12,2.8,2.2
Culberson, Charlie,3298,518586,2021,188,10.6,35.6,109.4,85.4,88.7,83.9,407,152,390,56,10.7,29.8,6,3.2,2.2
Dickerson, Corey,10762,572816,2021,269,10.1,29,109.8,87.8,93,85.4,432,143,398,96,11.9,35.7,8,3,2.2
Gardner, Brett,9927,458731,2021,298,12.5,29.2,108.6,86.7,92.1,84.5,408,152,378,98,12.5,32.9,10,3.4,2.2
Wynns, Austin,15271,642851,2021,100,10.7,24,105.8,83.6,90.4,78.1,395,150,374,27,10.8,27,3,3,2.2
Ruiz, Keibert,19610,660688,2021,79,18.6,30.4,106.5,86,88.4,87.2,405,169,386,24,15.1,30.4,2,2.5,2.1
Rosario, Amed,15518,642708,2021,434,5.6,32,111.5,88.8,90.8,88.7,423,142,399,188,17.8,43.3,12,2.8,2
Rivas, Alfonso,#N/A,663845,2021,28,10.2,35.7,107.8,88.4,84.9,91.9,363,152,363,9,10.3,32.1,1,3.6,2
Vázquez, Christian,9774,543877,2021,379,13.6,33,109.7,86.3,90.2,83.9,409,159,390,118,12.9,31.1,10,2.6,2
Trejo, Alan,#N/A,676701,2021,32,10.9,40.6,103.9,87.7,90.5,85.7,433,170,433,13,13.5,40.6,1,3.1,2
Alcántara, Sergio,#N/A,642727,2021,149,10.5,32.9,107.4,87.5,92.3,84.2,406,157,387,50,11.1,33.6,5,3.4,2
Profar, Jurickson,10815,595777,2021,291,14,30.6,107.6,85.3,89.5,84,431,147,384,88,11.7,30.2,8,2.7,1.9
Adrianza, Ehire,8418,501303,2021,144,13.4,36.1,105.4,85.4,91.4,81.2,414,169,392,47,12.6,32.6,4,2.8,1.9
Reddick, Josh,3892,502210,2021,121,16.8,40.5,104.8,85.1,88,84.3,398,180,384,39,12.4,32.2,3,2.5,1.9
Knapp, Andrew,14942,595284,2021,86,13.1,27.9,111.6,86.2,91.9,80.7,411,173,406,27,7.8,31.4,3,3.5,1.9
